segment	fivePrime	threePrime	counts
PB1_vRNA	2196	2213	27
PB2_vRNA	408	2016	0
PB2_vRNA	551	1894	26
PA_vRNA	404	2042	0
PA_vRNA	248	2052	17099
PA_vRNA	260	2024	0
PB1_vRNA	437	1980	27
PB1_vRNA	428	2026	85
PB2_vRNA	518	1891	2
PA_vRNA	291	2046	320
NA_vRNA	183	1307	0
PB2_vRNA	216	2246	105
PA_vRNA	293	2058	1373
PA_vRNA	529	1789	134
PB2_vRNA	370	2058	5
PA_vRNA	312	1997	75
PB1_vRNA	221	2233	35
PB1_vRNA	295	2177	0
PB1_vRNA	318	369	119
PA_vRNA	329	1979	148
PB2_vRNA	188	2131	3
PA_vRNA	152	1940	29
PA_vRNA	92	1832	0
PA_vRNA	249	1953	207
PA_vRNA	348	2010	24
PB2_vRNA	467	2184	27
PB1_vRNA	160	168	2243
PB2_vRNA	467	1750	16
PB1_vRNA	793	1700	22
PB2_vRNA	296	2136	70
PB2_vRNA	229	2154	8
PA_vRNA	243	334	2
PA_vRNA	280	2058	45
PA_vRNA	373	2108	3
PB1_vRNA	272	336	13
PB1_vRNA	304	2070	24
PB1_vRNA	469	2015	38
PA_vRNA	345	2021	7368
PB2_vRNA	345	2068	11
PA_vRNA	252	1989	3
PB2_vRNA	572	1867	43
PA_vRNA	373	1847	42
PB2_vRNA	266	2209	4
PB2_vRNA	733	1910	14
PA_vRNA	452	1903	50
PB1_vRNA	252	2186	87
PB1_vRNA	362	2094	2
PB2_vRNA	198	2146	0
NA_vRNA	222	1297	17
PA_vRNA	438	1933	6
PA_vRNA	293	2108	288
PA_vRNA	220	2091	0
PB1_vRNA	190	1991	18
PA_vRNA	537	1863	1595
PB2_vRNA	268	2144	5
PA_vRNA	103	2006	0
PB1_vRNA	300	2123	5
PA_vRNA	302	2013	141
PA_vRNA	378	1962	1
PA_vRNA	454	1861	0
PA_vRNA	305	2032	13
PA_vRNA	351	1904	12
NA_vRNA	307	1173	1
PB2_vRNA	240	2182	4
PB1_vRNA	200	2151	1
PA_vRNA	427	1782	9
PA_vRNA	320	2007	1
PB1_vRNA	230	1882	0
