segment	fivePrime	threePrime	counts
PB1_vRNA	2196	2213	0
PB2_vRNA	408	2016	2
PB2_vRNA	551	1894	2
PA_vRNA	404	2042	0
PA_vRNA	248	2052	19521
PA_vRNA	260	2024	2
PB1_vRNA	437	1980	0
PB1_vRNA	428	2026	2
PB2_vRNA	518	1891	0
PA_vRNA	291	2046	332
NA_vRNA	183	1307	1
PB2_vRNA	216	2246	2
PA_vRNA	293	2058	800
PA_vRNA	529	1789	113
PB2_vRNA	370	2058	2
PA_vRNA	312	1997	305
PB1_vRNA	221	2233	38
PB1_vRNA	295	2177	0
PB1_vRNA	318	369	315
PA_vRNA	329	1979	128
PB2_vRNA	188	2131	1
PA_vRNA	152	1940	5
PA_vRNA	92	1832	3
PA_vRNA	249	1953	272
PA_vRNA	348	2010	0
PB2_vRNA	467	2184	12
PB1_vRNA	160	168	1704
PB2_vRNA	467	1750	24
PB1_vRNA	793	1700	5
PB2_vRNA	296	2136	40
PB2_vRNA	229	2154	0
PA_vRNA	243	334	2
PA_vRNA	280	2058	11
PA_vRNA	373	2108	2
PB1_vRNA	272	336	3
PB1_vRNA	304	2070	3
PB1_vRNA	469	2015	14
PA_vRNA	345	2021	6740
PB2_vRNA	345	2068	1
PA_vRNA	252	1989	3
PB2_vRNA	572	1867	42
PA_vRNA	373	1847	34
PB2_vRNA	266	2209	1
PB2_vRNA	733	1910	2
PA_vRNA	452	1903	4
PB1_vRNA	252	2186	30
PB1_vRNA	362	2094	1
PB2_vRNA	198	2146	2
NA_vRNA	222	1297	0
PA_vRNA	438	1933	19
PA_vRNA	293	2108	364
PA_vRNA	220	2091	2
PB1_vRNA	190	1991	46
PA_vRNA	537	1863	1358
PB2_vRNA	268	2144	0
PA_vRNA	103	2006	0
PB1_vRNA	300	2123	0
PA_vRNA	302	2013	170
PA_vRNA	378	1962	95
PA_vRNA	454	1861	4
PA_vRNA	305	2032	5
PA_vRNA	351	1904	0
NA_vRNA	307	1173	12
PB2_vRNA	240	2182	20
PB1_vRNA	200	2151	3
PA_vRNA	427	1782	9
PA_vRNA	320	2007	4
PB1_vRNA	230	1882	5
PB1_vRNA	465	2032	198
PB1_vRNA	336	368	0
PB2_vRNA	236	2194	3
PB2_vRNA	108	2127	0
PA_vRNA	403	1941	33
PB2_vRNA	410	1918	0
PA_vRNA	348	1984	1
PA_vRNA	282	2051	23
PA_vRNA	386	1948	38
PB1_vRNA	298	2134	0
PB1_vRNA	337	2134	0
PB2_vRNA	286	2075	1
PB1_vRNA	255	2174	3
PA_vRNA	321	1804	27
PA_vRNA	251	2030	1
PB1_vRNA	463	1994	3
PB1_vRNA	289	2081	0
NA_vRNA	203	1311	1
PA_vRNA	237	2075	149
PB2_vRNA	274	2178	43
PA_vRNA	410	1892	1
PB2_vRNA	185	433	5
PB1_vRNA	293	2042	390
PB2_vRNA	367	2032	0
PA_vRNA	356	1977	115
PB1_vRNA	329	2183	26
PB2_vRNA	345	2056	1
PB2_vRNA	1543	2056	0
PA_vRNA	292	2051	28
PA_vRNA	221	2034	0
PB1_vRNA	237	2153	0
PB2_vRNA	251	1568	0
PA_vRNA	68	929	3
PB2_vRNA	686	1864	0
PB1_vRNA	513	1961	0
PA_vRNA	407	1885	240
PB1_vRNA	275	2072	0
PA_vRNA	120	2068	2
PA_vRNA	317	2058	0
PA_vRNA	222	2097	0
PB1_vRNA	497	2007	3
PB2_vRNA	290	2135	0
PA_vRNA	291	2017	28
PB2_vRNA	243	2216	0
PA_vRNA	227	2075	0
PB2_vRNA	131	212	5
PB2_vRNA	442	1909	28
PB2_vRNA	231	2170	0
PB2_vRNA	178	2115	2
NA_vRNA	203	1274	1
PB1_vRNA	401	2015	0
PB2_vRNA	206	2060	0
PB2_vRNA	546	1925	390
PB2_vRNA	248	2259	18825
PB1_vRNA	298	1627	10
PB2_vRNA	274	2122	0
PA_vRNA	157	324	2
PA_vRNA	376	1998	2
PB1_vRNA	313	2139	1
PB2_vRNA	184	2160	1
PB2_vRNA	248	2163	6
PA_vRNA	195	1923	0
PA_vRNA	173	1837	266
PB2_vRNA	357	2090	0
PB1_vRNA	252	2176	3
PA_vRNA	484	1824	0
PB1_vRNA	264	2055	26
PA_vRNA	249	1982	0
PA_vRNA	543	2046	0
PB2_vRNA	244	2142	5
PB1_vRNA	433	1997	428
PB2_vRNA	237	2166	1
PB2_vRNA	687	1771	19
PB2_vRNA	227	2255	0
PB1_vRNA	338	2056	170
PB2_vRNA	452	1992	0
PA_vRNA	307	2025	12054
PA_vRNA	420	2052	2492
PB1_vRNA	307	1800	52
PB1_vRNA	277	2181	2
PA_vRNA	216	2106	1
PB1_vRNA	335	1637	29
PA_vRNA	566	1705	2
PB1_vRNA	298	2173	0
PA_vRNA	367	1937	3
PA_vRNA	305	2064	20
PB2_vRNA	455	2046	1
PA_vRNA	359	1932	4
PB2_vRNA	216	2195	214
PA_vRNA	265	2023	10
PB1_vRNA	377	2129	1
PB2_vRNA	389	2067	2993
PA_vRNA	1004	1572	2
PA_vRNA	469	1953	0
PB1_vRNA	316	2185	0
PA_vRNA	264	2033	0
PA_vRNA	396	1915	2
PB2_vRNA	453	1970	0
PA_vRNA	379	2054	0
PB2_vRNA	279	2145	1
PB1_vRNA	715	1644	1
PA_vRNA	524	1978	0
PB1_vRNA	297	2176	0
PA_vRNA	238	2075	28
PA_vRNA	222	241	22
PA_vRNA	317	1960	5
PB1_vRNA	237	2183	0
PA_vRNA	173	2048	11
PA_vRNA	252	2018	0
PA_vRNA	280	2028	1
PA_vRNA	415	2012	19
PB1_vRNA	467	2034	0
PA_vRNA	1875	2117	0
PB2_vRNA	207	2130	2
PA_vRNA	471	1826	0
PA_vRNA	237	2017	1
PA_vRNA	268	2044	1
PB1_vRNA	231	2181	0
PA_vRNA	214	2092	46
PB1_vRNA	252	2181	56
PA_vRNA	1822	1885	1
PB2_vRNA	188	1878	0
PB1_vRNA	352	2007	1
PB2_vRNA	225	2201	30
PB2_vRNA	548	1856	0
PA_vRNA	329	1940	127
PB1_vRNA	2137	2246	1
PA_vRNA	412	1962	0
PB1_vRNA	300	2086	594
PB2_vRNA	374	2025	58
PB2_vRNA	174	1681	1
PB1_vRNA	322	2016	0
PA_vRNA	222	2120	1
PB2_vRNA	443	1931	0
PB2_vRNA	621	2018	6
PB2_vRNA	450	2017	0
PA_vRNA	298	2062	44
PB1_vRNA	264	2142	0
PB1_vRNA	215	2205	0
PB1_vRNA	2143	2195	0
M_vRNA	576	658	0
PB1_vRNA	517	1664	4
PB2_vRNA	279	2123	4
PA_vRNA	291	1894	47
PA_vRNA	368	1977	0
PB2_vRNA	140	2132	0
PA_vRNA	269	2054	1
PB1_vRNA	412	2106	0
PB1_vRNA	341	2145	436
PB2_vRNA	219	2165	0
PB2_vRNA	226	2176	651
PA_vRNA	411	1907	34
NA_vRNA	175	1324	1
PA_vRNA	261	1853	219
PB2_vRNA	279	2170	98
PB1_vRNA	477	1939	0
PB2_vRNA	461	1975	11
PA_vRNA	511	1804	5
PA_vRNA	198	1882	2
PB1_vRNA	434	1938	0
NA_vRNA	172	1324	15
NP_vRNA	379	725	3
PB2_vRNA	230	2140	6
PB2_vRNA	568	1900	6
PA_vRNA	213	2002	1
PA_vRNA	490	1946	0
PB1_vRNA	393	2020	0
PA_vRNA	1696	1844	0
PB1_vRNA	444	2090	0
PB1_vRNA	246	2197	0
PA_vRNA	438	1982	1
PA_vRNA	527	1809	1708
PA_vRNA	252	2043	218
PA_vRNA	296	2032	350
PB1_vRNA	395	2047	0
PA_vRNA	799	1479	6
PA_vRNA	668	1652	1087
PA_vRNA	391	1819	0
PA_vRNA	2142	2156	10
PB1_vRNA	453	2031	3
PA_vRNA	210	2107	37
PB2_vRNA	438	1955	0
PB2_vRNA	691	1712	0
PA_vRNA	2140	2189	2
NA_vRNA	468	1120	0
PB2_vRNA	291	2142	0
PA_vRNA	377	1978	6
PB1_vRNA	243	1950	1
PB2_vRNA	391	2049	1
PB2_vRNA	461	1962	6
PA_vRNA	524	1760	2
PB1_vRNA	307	2133	301
PB1_vRNA	234	2182	4
PA_vRNA	1457	2056	2
PA_vRNA	235	2038	0
PB1_vRNA	152	2084	0
PB1_vRNA	515	2056	49
PA_vRNA	537	1707	0
PB1_vRNA	296	2182	0
PB2_vRNA	242	2186	119
NP_vRNA	332	1249	0
PB1_vRNA	465	2067	18
PB1_vRNA	242	2144	3549
PA_vRNA	348	1996	4
PB1_vRNA	444	2093	45
PB2_vRNA	293	1974	0
PA_vRNA	352	2052	1
PA_vRNA	335	1989	0
PB2_vRNA	629	1872	0
PB1_vRNA	219	2047	9
PB1_vRNA	300	2115	41
PB1_vRNA	483	2004	0
PA_vRNA	257	2098	2
PB1_vRNA	248	2153	0
PB2_vRNA	252	2129	28
PB1_vRNA	367	2029	6
NA_vRNA	196	1253	17
PB1_vRNA	234	2179	2
PB1_vRNA	316	2049	0
PA_vRNA	256	2033	0
PB1_vRNA	2209	2290	0
PB1_vRNA	457	1990	0
PB1_vRNA	233	2201	7
PA_vRNA	485	1981	10
NA_vRNA	191	1328	3
PA_vRNA	285	1903	1
PB1_vRNA	434	2007	36
PA_vRNA	356	1919	375
PA_vRNA	520	1825	3
PB2_vRNA	173	2215	4
PA_vRNA	242	2058	14
PA_vRNA	355	1920	1
PA_vRNA	404	1923	5
PA_vRNA	480	1869	0
PA_vRNA	159	2064	0
PB2_vRNA	718	1719	0
PB2_vRNA	456	1995	0
PA_vRNA	170	2046	2
PB1_vRNA	307	2151	0
PB1_vRNA	357	1931	4
PB2_vRNA	389	2016	6
PA_vRNA	276	2091	0
PB2_vRNA	150	331	0
PA_vRNA	389	1956	1
PA_vRNA	174	2028	0
PA_vRNA	397	1921	0
PA_vRNA	407	1918	19
NA_vRNA	188	1284	3
PB1_vRNA	261	2148	2
PA_vRNA	1971	2040	3
PA_vRNA	652	1803	0
PB2_vRNA	691	1777	1
PA_vRNA	365	1958	303
PB2_vRNA	317	2085	0
PA_vRNA	379	2067	16
PA_vRNA	350	2055	1
PA_vRNA	269	280	26
PA_vRNA	256	304	3
PA_vRNA	446	2205	36
PA_vRNA	218	2076	0
PA_vRNA	320	1982	21
PB1_vRNA	270	2077	82
PA_vRNA	294	1856	0
PB1_vRNA	242	2179	7
PB2_vRNA	424	1980	0
PB2_vRNA	218	2134	5360
PA_vRNA	294	2001	4
PB1_vRNA	220	2015	110
PB2_vRNA	413	2034	1
PB1_vRNA	443	1977	44
PA_vRNA	522	1967	17
PB2_vRNA	1184	1994	29
PB1_vRNA	467	2010	6
PB2_vRNA	291	2153	17
PA_vRNA	370	1944	0
PB1_vRNA	202	2165	1
NA_vRNA	220	1366	13
PA_vRNA	498	1959	0
PB2_vRNA	177	2015	0
PB2_vRNA	328	2058	4
PB1_vRNA	385	2045	300
PA_vRNA	1674	1718	9
PA_vRNA	239	2051	0
PB2_vRNA	458	1983	0
PA_vRNA	317	2067	8
PB2_vRNA	242	2211	8
NA_vRNA	218	1269	0
PA_vRNA	265	2109	1
PA_vRNA	268	2053	0
PB2_vRNA	148	1558	2
PB2_vRNA	236	2163	0
PB1_vRNA	244	2233	5
PB1_vRNA	462	2002	410
PA_vRNA	490	1936	20
PB1_vRNA	138	2215	0
PB2_vRNA	455	1977	62
PB2_vRNA	306	2023	25
PA_vRNA	376	2105	0
PA_vRNA	408	2001	47
PB1_vRNA	202	2166	194
PA_vRNA	287	2147	9
PB1_vRNA	235	2135	0
PA_vRNA	253	1985	0
PB1_vRNA	733	1702	42
PB2_vRNA	244	2113	0
PA_vRNA	311	1932	8
PB1_vRNA	337	2181	0
PB1_vRNA	404	2034	0
PA_vRNA	272	1604	0
PB1_vRNA	487	2034	1
NA_vRNA	216	1247	0
NA_vRNA	195	1317	0
PA_vRNA	291	2026	0
PA_vRNA	219	2100	1
PB2_vRNA	221	2223	164
PB1_vRNA	347	2058	58
PA_vRNA	286	2064	0
PA_vRNA	476	554	6
PB2_vRNA	282	2172	89
PA_vRNA	480	1916	82
PB1_vRNA	532	2021	9
PA_vRNA	554	2128	142
NS_vRNA	564	854	1
PB1_vRNA	178	2224	124
PB1_vRNA	315	2156	27
PB2_vRNA	524	2015	0
PB2_vRNA	354	2039	23
PA_vRNA	293	2010	5
PA_vRNA	238	2076	18
PA_vRNA	352	2005	233
PB1_vRNA	950	1731	1
PA_vRNA	467	1858	1529
PB2_vRNA	386	2083	137
PB1_vRNA	240	2132	9
PB1_vRNA	309	2141	66
PB1_vRNA	314	2164	0
PB1_vRNA	388	2064	0
PB2_vRNA	339	2027	48
PA_vRNA	350	2059	0
PA_vRNA	558	1888	0
PB1_vRNA	404	2135	865
PA_vRNA	373	1908	0
PA_vRNA	402	2172	0
PB1_vRNA	220	275	1
PB1_vRNA	409	2021	34
PB2_vRNA	1259	1513	0
PA_vRNA	430	1950	0
PA_vRNA	351	1943	0
PA_vRNA	391	1940	1
PB1_vRNA	461	1996	0
PB1_vRNA	221	2125	1
PA_vRNA	213	2022	0
NA_vRNA	194	1286	771
PA_vRNA	242	2115	163
PA_vRNA	364	2058	14
PB2_vRNA	230	2136	0
PB2_vRNA	255	2154	28
PB2_vRNA	550	1840	3
PB2_vRNA	358	2070	0
PA_vRNA	241	1996	0
PA_vRNA	386	1945	3
PB1_vRNA	443	1997	4
PB2_vRNA	124	1467	0
PA_vRNA	132	1952	3
PA_vRNA	409	1985	28
PB2_vRNA	389	2083	1
PB1_vRNA	310	2133	1
PA_vRNA	231	2065	1
PB1_vRNA	2233	2252	8
PB1_vRNA	445	1934	7
PA_vRNA	307	2041	0
PB2_vRNA	256	2184	0
PB2_vRNA	268	2168	408
PA_vRNA	537	1813	63
PA_vRNA	376	1928	0
PA_vRNA	504	1864	0
PB2_vRNA	552	1986	0
PA_vRNA	165	2118	832
PA_vRNA	652	2074	0
PB2_vRNA	389	2035	6
PA_vRNA	397	1958	0
PB1_vRNA	444	1948	14
PB2_vRNA	477	2038	1
PB2_vRNA	2040	2056	33
PB1_vRNA	379	2190	258
PA_vRNA	575	1159	0
PA_vRNA	1818	1859	2
PB2_vRNA	250	2186	23
PB1_vRNA	267	2146	21
PB2_vRNA	350	2075	0
PA_vRNA	63	1031	1
PB1_vRNA	359	2142	0
PA_vRNA	296	1961	2
PB1_vRNA	316	2145	25
PB2_vRNA	343	1595	6
PB2_vRNA	319	2103	4
HA_vRNA	808	852	1
PA_vRNA	266	2022	71
PB1_vRNA	179	2074	70
NA_vRNA	201	1347	0
PA_vRNA	320	1990	0
PB2_vRNA	234	2176	0
PA_vRNA	100	1960	0
PA_vRNA	284	2073	0
NA_vRNA	188	1249	0
PB1_vRNA	358	2074	0
PA_vRNA	494	1874	0
PA_vRNA	213	2071	801
PB1_vRNA	179	2207	84
PB2_vRNA	588	1877	1
PB2_vRNA	247	2180	2
PB1_vRNA	470	2007	0
PA_vRNA	249	2125	1
PA_vRNA	591	1705	0
PB1_vRNA	293	2161	0
PB1_vRNA	244	1905	0
PA_vRNA	210	2102	0
PB2_vRNA	277	2130	8
PB2_vRNA	210	280	48
PB2_vRNA	472	2015	3
PB1_vRNA	460	2056	1
PA_vRNA	243	2089	0
PB2_vRNA	217	2163	1
PA_vRNA	293	2106	2
PB2_vRNA	288	2162	0
PB1_vRNA	366	2140	0
PB1_vRNA	515	2016	8
PB1_vRNA	713	1727	4
PA_vRNA	248	2057	0
PB2_vRNA	449	2002	0
PA_vRNA	373	1982	800
PA_vRNA	388	2025	2
PA_vRNA	1883	2142	2
PB1_vRNA	405	2037	1
PB1_vRNA	361	2165	0
PA_vRNA	502	1561	5
PB2_vRNA	260	2171	0
PB1_vRNA	385	2023	2
PB2_vRNA	438	2179	3
PB1_vRNA	375	2039	4
PB2_vRNA	265	1444	1
PA_vRNA	523	1886	3
PB1_vRNA	348	2029	4
PB2_vRNA	581	1933	16
PA_vRNA	248	2054	4
PB1_vRNA	365	2102	87
PA_vRNA	2092	2140	2
PA_vRNA	271	1906	36
PA_vRNA	463	2000	0
PB2_vRNA	214	2198	0
NA_vRNA	187	1337	3
PB1_vRNA	253	2178	326
PA_vRNA	221	1894	0
PA_vRNA	526	1999	0
PA_vRNA	278	2059	2
PA_vRNA	298	1938	196
PB2_vRNA	2106	2178	28
NA_vRNA	275	1112	0
PB2_vRNA	278	2163	0
PB2_vRNA	438	2095	1
PA_vRNA	188	2012	148
PA_vRNA	352	1961	2
NA_vRNA	317	1226	2
PB1_vRNA	481	2010	1
PB2_vRNA	180	2194	47
NA_vRNA	449	1060	0
PB2_vRNA	202	2220	221
PA_vRNA	490	1789	2
PB2_vRNA	357	2089	0
PA_vRNA	235	2067	0
PB2_vRNA	254	2166	13
PB2_vRNA	435	2046	4
PB2_vRNA	295	2036	99
PA_vRNA	223	1058	4
PB2_vRNA	455	2086	0
PB1_vRNA	415	1973	0
PA_vRNA	224	540	3
PA_vRNA	411	1959	2
PA_vRNA	238	2101	0
PA_vRNA	361	1790	44
PA_vRNA	320	1991	0
PA_vRNA	388	1772	1
PA_vRNA	462	1901	100
PB1_vRNA	183	2153	8
PB2_vRNA	273	927	25
PA_vRNA	319	1969	67
PA_vRNA	433	1942	19
PA_vRNA	295	1897	3
PA_vRNA	219	2097	1
PA_vRNA	120	258	12
PA_vRNA	359	1990	0
PB2_vRNA	395	2138	20
PB1_vRNA	376	2184	0
PA_vRNA	495	1859	7
PA_vRNA	305	1917	5
NA_vRNA	198	1298	16
PA_vRNA	391	443	1
PA_vRNA	168	2133	148
PB2_vRNA	269	2190	0
PA_vRNA	235	2091	0
PB1_vRNA	2014	2144	4
PB1_vRNA	250	2158	1
NP_vRNA	569	940	3
PA_vRNA	292	2019	0
PA_vRNA	264	1985	0
PA_vRNA	292	2039	0
PB1_vRNA	450	2067	3
PB1_vRNA	478	1901	0
PA_vRNA	334	1967	3
PA_vRNA	265	2106	33
PA_vRNA	264	1958	0
PA_vRNA	278	2034	120
PB2_vRNA	274	2148	0
NA_vRNA	188	1254	382
PA_vRNA	407	2138	3
PA_vRNA	317	1962	1
PA_vRNA	377	1943	3
PB1_vRNA	1880	1907	1
PB2_vRNA	227	2179	2
PA_vRNA	195	2140	0
PA_vRNA	261	2147	325
PA_vRNA	379	1999	0
PB2_vRNA	109	1431	3
PA_vRNA	183	2023	94
PA_vRNA	469	1958	21
PB1_vRNA	300	380	1
PB1_vRNA	250	2152	6
PA_vRNA	210	2030	0
M_vRNA	569	631	0
PB1_vRNA	415	2032	622
PA_vRNA	2151	2192	0
PA_vRNA	230	2113	258
PA_vRNA	443	1932	0
PA_vRNA	452	1902	0
PA_vRNA	526	1829	4
PA_vRNA	496	1707	0
PB1_vRNA	204	2176	101
PB1_vRNA	422	2004	0
PA_vRNA	315	2072	1
PB1_vRNA	2238	2258	40
PA_vRNA	321	2052	743
PB2_vRNA	251	2133	0
PB1_vRNA	356	2116	0
PB2_vRNA	368	2230	14
PB1_vRNA	239	2182	12
PB2_vRNA	409	2049	1
PA_vRNA	492	1961	0
PB2_vRNA	543	1893	0
PB1_vRNA	290	2038	44
PA_vRNA	349	1983	1
PB2_vRNA	148	2155	0
PA_vRNA	423	1851	5
PA_vRNA	295	2023	0
PA_vRNA	267	2077	11
PA_vRNA	273	2008	0
PB2_vRNA	565	1944	48
PA_vRNA	769	1907	141
PB2_vRNA	274	2008	0
