segment	fivePrime	threePrime	counts
PA_vRNA	233	1998	3
PB1_vRNA	666	1701	78
PA_vRNA	166	1809	66
PB2_vRNA	541	1890	577
PA_vRNA	221	2095	4
PB2_vRNA	368	2025	89
PA_vRNA	2139	2150	127
PA_vRNA	531	2088	244
PB2_vRNA	263	2091	11
PA_vRNA	362	1880	67
PA_vRNA	242	2025	23
PB2_vRNA	380	2125	7
PB1_vRNA	244	264	1
PB1_vRNA	273	2125	14
PB2_vRNA	471	1995	0
PA_vRNA	506	1920	3289
NA_vRNA	193	1320	0
PB2_vRNA	574	1892	0
PB1_vRNA	569	1894	2
PA_vRNA	274	2031	9
PB2_vRNA	290	2106	76
PA_vRNA	164	1999	17
PA_vRNA	176	2139	12
PA_vRNA	454	1802	23
PB1_vRNA	445	2024	8
PB1_vRNA	287	2072	1
PB2_vRNA	241	2181	2
PA_vRNA	312	2058	7
PB1_vRNA	253	2075	0
PB2_vRNA	438	1820	2
PB2_vRNA	270	2100	0
PA_vRNA	452	2064	1
PB2_vRNA	455	2023	7
PA_vRNA	485	1837	1
PB1_vRNA	429	2022	0
PB1_vRNA	369	1968	1
PB2_vRNA	112	2037	1
PA_vRNA	472	1889	46
NA_vRNA	205	1259	4
NA_vRNA	213	1334	1
PA_vRNA	612	1733	6
PB1_vRNA	392	2252	9
PA_vRNA	321	1882	15
NA_vRNA	95	1261	2
PA_vRNA	354	1999	9
NP_vRNA	237	1432	11
PB2_vRNA	461	1918	189
PB1_vRNA	202	2219	5
PA_vRNA	317	1825	225
PA_vRNA	363	1905	12
PB2_vRNA	1561	2121	2
PA_vRNA	317	2064	1
PB2_vRNA	288	2165	1
PB2_vRNA	479	1971	0
PA_vRNA	247	2052	28
PA_vRNA	539	1878	0
PB1_vRNA	447	1879	1976
PB2_vRNA	635	651	5
PB1_vRNA	351	2151	0
PA_vRNA	334	2011	8
PA_vRNA	293	2033	22
PA_vRNA	453	1998	1
PB1_vRNA	358	2154	0
PA_vRNA	1918	1958	2
PA_vRNA	265	1985	5
PB1_vRNA	366	2065	13
PB1_vRNA	193	2192	4
PB2_vRNA	401	2033	1
PB2_vRNA	207	2130	330
PA_vRNA	436	1938	7
PB2_vRNA	314	2084	11
PB1_vRNA	413	2010	23
PB2_vRNA	466	1948	7
PB1_vRNA	348	2151	3
PB2_vRNA	193	2087	3
PB1_vRNA	515	2044	0
PB2_vRNA	390	2035	87
PA_vRNA	1951	2014	2
PA_vRNA	249	2105	31
PA_vRNA	123	151	2
PA_vRNA	314	2065	8
PB1_vRNA	203	2181	14
PB2_vRNA	600	1860	0
PB2_vRNA	213	2234	5
PA_vRNA	335	2055	3
PB2_vRNA	292	2187	2
PB1_vRNA	446	2046	8
PA_vRNA	425	1980	1
PA_vRNA	476	1869	15
PB1_vRNA	375	2182	16
PA_vRNA	207	2075	50
PA_vRNA	471	1860	17
PB2_vRNA	190	2113	0
PB2_vRNA	2127	2145	22
PB1_vRNA	368	2034	6
PB1_vRNA	356	2086	114
PA_vRNA	347	1963	10
PA_vRNA	376	2059	1
PB1_vRNA	219	385	16
PB2_vRNA	416	2039	47
PB2_vRNA	423	2038	33
PB1_vRNA	433	2028	0
PB1_vRNA	262	2161	3
PB2_vRNA	551	1882	1779
PA_vRNA	596	1607	4
PA_vRNA	213	2047	17
PB1_vRNA	126	184	10
PB2_vRNA	242	2112	0
PB1_vRNA	450	1991	101
PB1_vRNA	625	1826	37
NA_vRNA	653	1326	57
PB2_vRNA	623	1883	48
PA_vRNA	564	1677	6
PB2_vRNA	291	1995	14
PA_vRNA	287	2012	16
M_vRNA	161	965	1
PA_vRNA	2072	2094	26
PB2_vRNA	274	2082	1
PA_vRNA	397	1934	46
PB2_vRNA	426	2013	24
PB1_vRNA	317	2157	47
NP_vRNA	84	208	0
PB2_vRNA	181	1688	12
PB2_vRNA	389	2063	272
PB2_vRNA	233	2177	9
HA_vRNA	231	1617	81
PA_vRNA	1934	2049	21
PB2_vRNA	524	1910	37
PA_vRNA	364	1961	62
PB2_vRNA	173	2064	0
NA_vRNA	189	1339	0
PA_vRNA	385	2007	1823
PB2_vRNA	381	2087	38
PA_vRNA	444	1886	6
HA_vRNA	349	1395	0
PA_vRNA	317	2095	0
PB2_vRNA	455	2006	6
PB2_vRNA	355	2048	13
PA_vRNA	376	1933	1
PA_vRNA	254	1971	2
NA_vRNA	185	1308	0
PA_vRNA	274	1996	29
PB2_vRNA	264	1848	45
PB2_vRNA	313	2183	1
PA_vRNA	312	1999	11
PB1_vRNA	367	2056	0
