segment	fivePrime	threePrime	counts
PB1_vRNA	2196	2213	1
PB2_vRNA	408	2016	0
PB2_vRNA	551	1894	21
PA_vRNA	404	2042	0
PA_vRNA	248	2052	18186
PA_vRNA	260	2024	2
PB1_vRNA	437	1980	7
PB1_vRNA	428	2026	5
PB2_vRNA	518	1891	0
PA_vRNA	291	2046	464
NA_vRNA	183	1307	16
PB2_vRNA	216	2246	2
PA_vRNA	293	2058	1180
PA_vRNA	529	1789	206
PB2_vRNA	370	2058	0
PA_vRNA	312	1997	37
PB1_vRNA	221	2233	0
PB1_vRNA	295	2177	0
PB1_vRNA	318	369	152
PA_vRNA	329	1979	213
PB2_vRNA	188	2131	2
PA_vRNA	152	1940	37
PA_vRNA	92	1832	2
PA_vRNA	249	1953	320
PA_vRNA	348	2010	0
PB2_vRNA	467	2184	3
PB1_vRNA	160	168	1859
PB2_vRNA	467	1750	18
PB1_vRNA	793	1700	23
PB2_vRNA	296	2136	109
PB2_vRNA	229	2154	0
PA_vRNA	243	334	0
PA_vRNA	280	2058	44
PA_vRNA	373	2108	2
PB1_vRNA	272	336	8
PB1_vRNA	304	2070	3
PB1_vRNA	469	2015	22
PA_vRNA	345	2021	8701
PB2_vRNA	345	2068	4
PA_vRNA	252	1989	4
PB2_vRNA	572	1867	47
PA_vRNA	373	1847	33
PB2_vRNA	266	2209	7
PB2_vRNA	733	1910	11
PA_vRNA	452	1903	18
PB1_vRNA	252	2186	40
PB1_vRNA	362	2094	0
PB2_vRNA	198	2146	0
NA_vRNA	222	1297	66
PA_vRNA	438	1933	0
PA_vRNA	293	2108	374
PA_vRNA	220	2091	0
PB1_vRNA	190	1991	14
PA_vRNA	537	1863	1648
PB2_vRNA	268	2144	104
PA_vRNA	103	2006	3
PB1_vRNA	300	2123	0
PA_vRNA	302	2013	139
PA_vRNA	378	1962	1
PA_vRNA	454	1861	1
PA_vRNA	305	2032	0
PA_vRNA	351	1904	19
NA_vRNA	307	1173	0
PB2_vRNA	240	2182	2
PB1_vRNA	200	2151	5
PA_vRNA	427	1782	8
PA_vRNA	320	2007	26
PB1_vRNA	230	1882	4
PB1_vRNA	465	2032	306
PB1_vRNA	336	368	3
PB2_vRNA	236	2194	3
PB2_vRNA	108	2127	0
PA_vRNA	403	1941	45
PB2_vRNA	410	1918	19
PA_vRNA	348	1984	26
PA_vRNA	282	2051	55
PA_vRNA	386	1948	49
PB1_vRNA	298	2134	0
PB1_vRNA	337	2134	0
PB2_vRNA	286	2075	0
PB1_vRNA	255	2174	7
PA_vRNA	321	1804	18
PA_vRNA	251	2030	1
PB1_vRNA	463	1994	12
PB1_vRNA	289	2081	2
NA_vRNA	203	1311	3
PA_vRNA	237	2075	84
PB2_vRNA	274	2178	149
PA_vRNA	410	1892	1
PB2_vRNA	185	433	14
PB1_vRNA	293	2042	483
PB2_vRNA	367	2032	49
PA_vRNA	356	1977	158
PB1_vRNA	329	2183	5
PB2_vRNA	345	2056	3
PB2_vRNA	1543	2056	0
PA_vRNA	292	2051	1
PA_vRNA	221	2034	0
PB1_vRNA	237	2153	4
PB2_vRNA	251	1568	22
PA_vRNA	68	929	1
PB2_vRNA	686	1864	0
PB1_vRNA	513	1961	0
PA_vRNA	407	1885	70
PB1_vRNA	275	2072	0
PA_vRNA	120	2068	0
PA_vRNA	317	2058	0
PA_vRNA	222	2097	0
PB1_vRNA	497	2007	7
PB2_vRNA	290	2135	14
PA_vRNA	291	2017	79
PB2_vRNA	243	2216	17
PA_vRNA	227	2075	0
PB2_vRNA	131	212	6
