segment	fivePrime_1	threePrime_1	fivePrime_2	threePrime_2	counts
HA_vRNA	93	159	212	632	1
HA_vRNA	439	1420	1555	1603	1
M_vRNA	273	622	690	1019	2
M_vRNA	273	675	690	1019	1
M_vRNA	600	622	690	1019	2
NA_vRNA	51	87	195	1257	7
NA_vRNA	70	84	125	1249	1
NA_vRNA	70	84	281	1185	52
NA_vRNA	70	196	307	1200	5
NA_vRNA	70	196	1296	1327	6
NA_vRNA	71	85	281	1185	1
NA_vRNA	80	1071	1101	1256	67
NA_vRNA	80	1071	1325	1338	6
NA_vRNA	84	206	308	1077	20
NA_vRNA	84	206	363	1327	4
NA_vRNA	84	206	1193	1229	8
NA_vRNA	86	102	187	1258	70
NA_vRNA	86	102	1296	1327	75
NA_vRNA	86	173	343	1331	22
NA_vRNA	86	403	586	1071	1
NA_vRNA	86	1077	1121	1258	9
NA_vRNA	90	100	188	1290	2
NA_vRNA	90	100	1296	1327	1
NA_vRNA	91	201	353	1345	5
NA_vRNA	92	126	157	308	14
NA_vRNA	92	126	234	1194	1
NA_vRNA	92	126	333	1188	4
NA_vRNA	92	126	1224	1258	9
NA_vRNA	92	126	1304	1378	7
NA_vRNA	92	993	1071	1125	3
NA_vRNA	92	993	1222	1318	6
NA_vRNA	92	1254	1325	1338	8
NA_vRNA	101	614	655	807	45
NA_vRNA	101	614	904	1345	28
NA_vRNA	125	1224	1296	1327	9
NA_vRNA	150	993	1029	1069	141
NA_vRNA	150	1224	1295	1318	2
NA_vRNA	150	1224	1296	1327	2
NA_vRNA	157	308	333	1188	8
NA_vRNA	157	308	1224	1258	11
NA_vRNA	157	308	1304	1378	8
NA_vRNA	167	236	306	1258	9
NA_vRNA	187	1258	1296	1327	122
NA_vRNA	188	1254	1296	1327	1
NA_vRNA	188	1257	1314	1345	1
NA_vRNA	195	1055	1115	1144	1
NA_vRNA	195	1055	1248	1327	1
NA_vRNA	195	1257	1322	1378	3
NA_vRNA	200	1225	1296	1327	86
NA_vRNA	203	1109	1287	1323	6
NA_vRNA	203	1178	1314	1327	2
NA_vRNA	203	1274	1322	1376	2
NA_vRNA	204	236	381	1071	43
NA_vRNA	204	236	1317	1326	19
NA_vRNA	204	1224	1289	1327	5
NA_vRNA	204	1224	1295	1318	50
NA_vRNA	204	1249	1298	1326	7
NA_vRNA	216	1223	1289	1327	1
NA_vRNA	216	1223	1295	1318	13
NA_vRNA	234	1194	1296	1327	1
NA_vRNA	275	288	308	1230	8
NA_vRNA	300	315	458	1073	3
NA_vRNA	307	1130	1194	1245	24
NA_vRNA	307	1130	1284	1305	10
NA_vRNA	307	1200	1296	1327	13
NA_vRNA	308	383	490	1323	8
NA_vRNA	308	1077	1193	1229	12
NA_vRNA	333	1188	1224	1258	9
NA_vRNA	333	1188	1304	1378	4
NA_vRNA	337	414	542	1058	1
NA_vRNA	381	1071	1317	1326	32
NA_vRNA	387	1250	1296	1327	10
NA_vRNA	428	466	555	1364	16
NA_vRNA	655	807	904	1345	27
NA_vRNA	1071	1125	1222	1318	4
NA_vRNA	1101	1256	1325	1338	7
NA_vRNA	1115	1144	1248	1327	1
NA_vRNA	1194	1245	1284	1305	59
NA_vRNA	1222	1258	1316	1338	2
NA_vRNA	1224	1258	1304	1378	12
NP_vRNA	83	325	378	1461	1
NP_vRNA	186	223	225	1381	1
NP_vRNA	210	272	310	1285	5
NP_vRNA	210	272	348	1215	1
NP_vRNA	270	291	427	1190	1
NP_vRNA	576	1069	1134	1151	19
PA_vRNA	39	261	290	2031	1
PA_vRNA	39	261	291	1939	1
PA_vRNA	39	261	298	2064	2
PA_vRNA	39	261	307	2025	1
PA_vRNA	39	261	330	1889	1
PA_vRNA	55	289	471	1845	1
PA_vRNA	65	326	373	1982	1
