segment	fivePrime	threePrime	counts
PA_vRNA	233	1998	8
PB1_vRNA	666	1701	72
PA_vRNA	166	1809	1
PB2_vRNA	541	1890	257
PA_vRNA	221	2095	9
PB2_vRNA	368	2025	120
PA_vRNA	2139	2150	19
PA_vRNA	531	2088	182
PB2_vRNA	263	2091	17
PA_vRNA	362	1880	114
PA_vRNA	242	2025	2
PB2_vRNA	380	2125	0
PB1_vRNA	244	264	5
PB1_vRNA	273	2125	0
PB2_vRNA	471	1995	4
PA_vRNA	506	1920	4139
NA_vRNA	193	1320	5
PB2_vRNA	574	1892	4
PB1_vRNA	569	1894	2
PA_vRNA	274	2031	7
PB2_vRNA	290	2106	4
PA_vRNA	164	1999	10
PA_vRNA	176	2139	1
PA_vRNA	454	1802	6
PB1_vRNA	445	2024	0
PB1_vRNA	287	2072	8
PB2_vRNA	241	2181	3
PA_vRNA	312	2058	11
PB1_vRNA	253	2075	6
PB2_vRNA	438	1820	3
PB2_vRNA	270	2100	5
PA_vRNA	452	2064	6
PB2_vRNA	455	2023	8
PA_vRNA	485	1837	17
PB1_vRNA	429	2022	5
PB1_vRNA	369	1968	4
PB2_vRNA	112	2037	4
PA_vRNA	472	1889	24
NA_vRNA	205	1259	2
NA_vRNA	213	1334	7
PA_vRNA	612	1733	1
PB1_vRNA	392	2252	5
PA_vRNA	321	1882	152
NA_vRNA	95	1261	4
PA_vRNA	354	1999	7
NP_vRNA	237	1432	8
PB2_vRNA	461	1918	328
PB1_vRNA	202	2219	1
PA_vRNA	317	1825	240
PA_vRNA	363	1905	4
PB2_vRNA	1561	2121	1
PA_vRNA	317	2064	10
PB2_vRNA	288	2165	14
PB2_vRNA	479	1971	6
PA_vRNA	247	2052	4
PA_vRNA	539	1878	0
PB1_vRNA	447	1879	1397
PB2_vRNA	635	651	2
PB1_vRNA	351	2151	3
PA_vRNA	334	2011	17
PA_vRNA	293	2033	19
PA_vRNA	453	1998	5
PB1_vRNA	358	2154	0
PA_vRNA	1918	1958	15
PA_vRNA	265	1985	5
PB1_vRNA	366	2065	10
PB1_vRNA	193	2192	9
PB2_vRNA	401	2033	9
PB2_vRNA	207	2130	159
PA_vRNA	436	1938	4
PB2_vRNA	314	2084	2
PB1_vRNA	413	2010	34
PB2_vRNA	466	1948	9
PB1_vRNA	348	2151	8
PB2_vRNA	193	2087	0
PB1_vRNA	515	2044	3
PB2_vRNA	390	2035	1
PA_vRNA	1951	2014	2
PA_vRNA	249	2105	11
PA_vRNA	123	151	5
PA_vRNA	314	2065	18
PB1_vRNA	203	2181	13
PB2_vRNA	600	1860	1
PB2_vRNA	213	2234	9
PA_vRNA	335	2055	26
PB2_vRNA	292	2187	6
PB1_vRNA	446	2046	13
PA_vRNA	425	1980	15
PA_vRNA	476	1869	7
PB1_vRNA	375	2182	22
PA_vRNA	207	2075	25
PA_vRNA	471	1860	40
PB2_vRNA	190	2113	0
PB2_vRNA	2127	2145	29
PB1_vRNA	368	2034	1
PB1_vRNA	356	2086	91
PA_vRNA	347	1963	17
PA_vRNA	376	2059	3
PB1_vRNA	219	385	2
PB2_vRNA	416	2039	20
PB2_vRNA	423	2038	5
PB1_vRNA	433	2028	2
PB1_vRNA	262	2161	8
PB2_vRNA	551	1882	1743
PA_vRNA	596	1607	5
PA_vRNA	213	2047	1
PB1_vRNA	126	184	3
PB2_vRNA	242	2112	0
PB1_vRNA	450	1991	101
PB1_vRNA	625	1826	6
NA_vRNA	653	1326	43
PB2_vRNA	623	1883	80
PA_vRNA	564	1677	12
PB2_vRNA	291	1995	24
