segment	fivePrime	threePrime	counts
PA_vRNA	233	1998	0
PB1_vRNA	666	1701	70
PA_vRNA	166	1809	1
PB2_vRNA	541	1890	228
PA_vRNA	221	2095	0
PB2_vRNA	368	2025	298
PA_vRNA	2139	2150	34
PA_vRNA	531	2088	345
PB2_vRNA	263	2091	0
PA_vRNA	362	1880	27
PA_vRNA	242	2025	0
PB2_vRNA	380	2125	2
PB1_vRNA	244	264	0
PB1_vRNA	273	2125	19
PB2_vRNA	471	1995	4
PA_vRNA	506	1920	3753
NA_vRNA	193	1320	0
PB2_vRNA	574	1892	8
PB1_vRNA	569	1894	0
PA_vRNA	274	2031	6
PB2_vRNA	290	2106	6
PA_vRNA	164	1999	0
PA_vRNA	176	2139	0
PA_vRNA	454	1802	6
PB1_vRNA	445	2024	1
PB1_vRNA	287	2072	2
PB2_vRNA	241	2181	0
PA_vRNA	312	2058	0
PB1_vRNA	253	2075	2
PB2_vRNA	438	1820	2
PB2_vRNA	270	2100	33
PA_vRNA	452	2064	0
PB2_vRNA	455	2023	12
PA_vRNA	485	1837	0
PB1_vRNA	429	2022	4
PB1_vRNA	369	1968	0
PB2_vRNA	112	2037	0
PA_vRNA	472	1889	4
NA_vRNA	205	1259	23
NA_vRNA	213	1334	42
PA_vRNA	612	1733	0
PB1_vRNA	392	2252	0
PA_vRNA	321	1882	13
NA_vRNA	95	1261	0
PA_vRNA	354	1999	79
NP_vRNA	237	1432	1
PB2_vRNA	461	1918	357
PB1_vRNA	202	2219	0
PA_vRNA	317	1825	327
PA_vRNA	363	1905	2
PB2_vRNA	1561	2121	1
PA_vRNA	317	2064	0
PB2_vRNA	288	2165	0
PB2_vRNA	479	1971	0
PA_vRNA	247	2052	0
PA_vRNA	539	1878	0
PB1_vRNA	447	1879	603
PB2_vRNA	635	651	0
PB1_vRNA	351	2151	12
PA_vRNA	334	2011	13
PA_vRNA	293	2033	0
PA_vRNA	453	1998	1
PB1_vRNA	358	2154	31
PA_vRNA	1918	1958	0
PA_vRNA	265	1985	40
PB1_vRNA	366	2065	9
PB1_vRNA	193	2192	0
PB2_vRNA	401	2033	13
PB2_vRNA	207	2130	81
PA_vRNA	436	1938	0
PB2_vRNA	314	2084	0
PB1_vRNA	413	2010	12
PB2_vRNA	466	1948	3
PB1_vRNA	348	2151	0
PB2_vRNA	193	2087	0
PB1_vRNA	515	2044	0
PB2_vRNA	390	2035	0
PA_vRNA	1951	2014	1
PA_vRNA	249	2105	0
PA_vRNA	123	151	5
PA_vRNA	314	2065	0
PB1_vRNA	203	2181	0
PB2_vRNA	600	1860	9
PB2_vRNA	213	2234	2
PA_vRNA	335	2055	75
PB2_vRNA	292	2187	0
PB1_vRNA	446	2046	6
PA_vRNA	425	1980	2
PA_vRNA	476	1869	0
PB1_vRNA	375	2182	3
PA_vRNA	207	2075	11
PA_vRNA	471	1860	46
