segment	fivePrime	threePrime	counts
PB1_vRNA	2196	2213	4
PB2_vRNA	408	2016	8
PB2_vRNA	551	1894	7
PA_vRNA	404	2042	0
PA_vRNA	248	2052	24000
PA_vRNA	260	2024	2
PB1_vRNA	437	1980	1
PB1_vRNA	428	2026	29
PB2_vRNA	518	1891	0
PA_vRNA	291	2046	374
NA_vRNA	183	1307	3
PB2_vRNA	216	2246	9
PA_vRNA	293	2058	1379
PA_vRNA	529	1789	116
PB2_vRNA	370	2058	0
PA_vRNA	312	1997	163
PB1_vRNA	221	2233	7
PB1_vRNA	295	2177	1
PB1_vRNA	318	369	115
PA_vRNA	329	1979	162
PB2_vRNA	188	2131	3
PA_vRNA	152	1940	52
PA_vRNA	92	1832	2
PA_vRNA	249	1953	282
PA_vRNA	348	2010	1
PB2_vRNA	467	2184	15
PB1_vRNA	160	168	2023
PB2_vRNA	467	1750	25
PB1_vRNA	793	1700	7
PB2_vRNA	296	2136	24
PB2_vRNA	229	2154	0
PA_vRNA	243	334	0
PA_vRNA	280	2058	16
PA_vRNA	373	2108	2
PB1_vRNA	272	336	19
PB1_vRNA	304	2070	1
PB1_vRNA	469	2015	33
PA_vRNA	345	2021	9381
PB2_vRNA	345	2068	2
PA_vRNA	252	1989	11
PB2_vRNA	572	1867	30
PA_vRNA	373	1847	73
PB2_vRNA	266	2209	4
PB2_vRNA	733	1910	5
PA_vRNA	452	1903	41
PB1_vRNA	252	2186	80
PB1_vRNA	362	2094	3
PB2_vRNA	198	2146	7
NA_vRNA	222	1297	6
PA_vRNA	438	1933	6
PA_vRNA	293	2108	307
PA_vRNA	220	2091	13
PB1_vRNA	190	1991	21
PA_vRNA	537	1863	1638
PB2_vRNA	268	2144	4
PA_vRNA	103	2006	1
PB1_vRNA	300	2123	1
PA_vRNA	302	2013	155
PA_vRNA	378	1962	6
PA_vRNA	454	1861	7
PA_vRNA	305	2032	4
PA_vRNA	351	1904	2
NA_vRNA	307	1173	4
PB2_vRNA	240	2182	4
PB1_vRNA	200	2151	5
PA_vRNA	427	1782	18
PA_vRNA	320	2007	1
PB1_vRNA	230	1882	4
PB1_vRNA	465	2032	503
PB1_vRNA	336	368	3
PB2_vRNA	236	2194	11
PB2_vRNA	108	2127	0
PA_vRNA	403	1941	30
PB2_vRNA	410	1918	11
PA_vRNA	348	1984	13
PA_vRNA	282	2051	9
PA_vRNA	386	1948	55
PB1_vRNA	298	2134	0
PB1_vRNA	337	2134	0
PB2_vRNA	286	2075	3
PB1_vRNA	255	2174	7
PA_vRNA	321	1804	23
PA_vRNA	251	2030	4
PB1_vRNA	463	1994	25
PB1_vRNA	289	2081	1
NA_vRNA	203	1311	6
PA_vRNA	237	2075	135
PB2_vRNA	274	2178	79
PA_vRNA	410	1892	11
