	segment	fivePrime	threePrime	counts
0	NS_vRNA	38	50	1
1	NS_vRNA	55	679	1
2	NS_vRNA	58	712	1
3	NS_vRNA	62	748	1
4	NS_vRNA	78	750	1
5	NS_vRNA	97	122	2
6	NS_vRNA	98	120	1
7	NS_vRNA	100	722	1
8	NS_vRNA	102	124	1
9	NS_vRNA	102	691	2
10	NS_vRNA	103	114	1
11	NS_vRNA	103	628	1
12	NS_vRNA	110	773	1
13	NS_vRNA	111	792	1
14	NS_vRNA	112	134	1
15	NS_vRNA	117	200	1
16	NS_vRNA	119	807	1
17	NS_vRNA	123	160	2
18	NS_vRNA	126	504	1
19	NS_vRNA	126	633	1
20	NS_vRNA	129	160	1
21	NS_vRNA	130	719	1
22	NS_vRNA	132	736	1
23	NS_vRNA	135	614	3
24	NS_vRNA	136	750	1
25	NS_vRNA	136	781	1
26	NS_vRNA	137	819	1
27	NS_vRNA	139	702	1
28	NS_vRNA	144	721	1
29	NS_vRNA	146	616	1
30	NS_vRNA	148	575	1
31	NS_vRNA	150	634	1
32	NS_vRNA	150	752	1
33	NS_vRNA	151	691	1
34	NS_vRNA	151	723	1
35	NS_vRNA	153	660	1
36	NS_vRNA	155	366	1
37	NS_vRNA	159	747	1
38	NS_vRNA	160	729	1
39	NS_vRNA	161	773	2
40	NS_vRNA	163	785	1
41	NS_vRNA	164	674	1
42	NS_vRNA	164	745	1
43	NS_vRNA	165	654	1
44	NS_vRNA	165	687	2
45	NS_vRNA	165	731	1
46	NS_vRNA	166	690	1
47	NS_vRNA	167	706	1
48	NS_vRNA	167	726	1
49	NS_vRNA	170	770	1
50	NS_vRNA	171	661	2
51	NS_vRNA	172	806	1
52	NS_vRNA	179	729	1
53	NS_vRNA	184	610	1
54	NS_vRNA	184	848	1
55	NS_vRNA	185	274	1
56	NS_vRNA	186	231	2
57	NS_vRNA	186	636	1
58	NS_vRNA	186	647	2
59	NS_vRNA	186	658	1
60	NS_vRNA	186	730	5
61	NS_vRNA	186	738	1
62	NS_vRNA	187	201	1
63	NS_vRNA	187	615	1
64	NS_vRNA	187	636	1
65	NS_vRNA	189	803	1
66	NS_vRNA	193	677	2
67	NS_vRNA	197	757	3
68	NS_vRNA	198	739	1
69	NS_vRNA	199	231	1
