	segment	fivePrime	threePrime	counts
0	NS_vRNA	45	99	1
1	NS_vRNA	51	83	1
2	NS_vRNA	62	84	1
3	NS_vRNA	83	725	3
4	NS_vRNA	87	806	1
5	NS_vRNA	106	131	3
6	NS_vRNA	112	636	4
7	NS_vRNA	121	785	1
8	NS_vRNA	131	805	1
9	NS_vRNA	134	823	1
10	NS_vRNA	135	759	1
11	NS_vRNA	140	702	4
12	NS_vRNA	140	725	4
13	NS_vRNA	144	693	1
14	NS_vRNA	145	741	1
15	NS_vRNA	147	616	1
16	NS_vRNA	148	673	1
17	NS_vRNA	151	666	2
18	NS_vRNA	151	677	1
19	NS_vRNA	152	655	1
20	NS_vRNA	152	703	2
21	NS_vRNA	153	772	1
22	NS_vRNA	155	781	1
23	NS_vRNA	158	759	2
24	NS_vRNA	159	738	2
25	NS_vRNA	159	856	1
26	NS_vRNA	161	712	2
27	NS_vRNA	165	736	2
28	NS_vRNA	171	737	2
29	NS_vRNA	184	814	2
30	NS_vRNA	185	679	2
31	NS_vRNA	185	739	3
32	NS_vRNA	186	702	1
33	NS_vRNA	186	736	1
34	NS_vRNA	186	810	2
35	NS_vRNA	187	593	6
36	NS_vRNA	187	738	1
37	NS_vRNA	188	738	1
38	NS_vRNA	190	203	1
39	NS_vRNA	191	616	2
40	NS_vRNA	192	593	2
41	NS_vRNA	195	685	2
42	NS_vRNA	195	715	1
43	NS_vRNA	196	746	1
44	NS_vRNA	197	232	2
45	NS_vRNA	199	231	1
46	NS_vRNA	199	253	1
47	NS_vRNA	199	496	1
48	NS_vRNA	199	740	1
49	NS_vRNA	200	615	2
50	NS_vRNA	200	711	1
51	NS_vRNA	200	781	1
52	NS_vRNA	201	773	1
53	NS_vRNA	202	218	1
54	NS_vRNA	205	828	3
55	NS_vRNA	209	616	1
56	NS_vRNA	209	708	3
57	NS_vRNA	213	228	2
58	NS_vRNA	216	674	10
59	NS_vRNA	219	686	1
60	NS_vRNA	223	269	1
61	NS_vRNA	224	259	1
62	NS_vRNA	225	570	2
63	NS_vRNA	227	702	1
64	NS_vRNA	228	740	1
65	NS_vRNA	231	695	1
66	NS_vRNA	232	721	1
67	NS_vRNA	233	692	3
68	NS_vRNA	238	750	1
69	NS_vRNA	242	724	2
70	NS_vRNA	246	537	4
71	NS_vRNA	246	677	1
72	NS_vRNA	247	614	1
73	NS_vRNA	247	769	1
74	NS_vRNA	249	674	1
75	NS_vRNA	250	613	1
76	NS_vRNA	256	310	1
77	NS_vRNA	259	821	4
78	NS_vRNA	261	700	1
79	NS_vRNA	261	771	1
80	NS_vRNA	262	575	1
81	NS_vRNA	262	729	1
82	NS_vRNA	263	634	1
83	NS_vRNA	263	792	1
84	NS_vRNA	269	685	2
85	NS_vRNA	270	725	2
86	NS_vRNA	273	775	2
87	NS_vRNA	277	651	1
88	NS_vRNA	278	313	1
89	NS_vRNA	278	437	1
90	NS_vRNA	281	597	2
91	NS_vRNA	281	774	1
92	NS_vRNA	282	480	1
93	NS_vRNA	282	579	1
94	NS_vRNA	283	478	1
95	NS_vRNA	283	525	2
96	NS_vRNA	283	620	1
97	NS_vRNA	283	775	1
98	NS_vRNA	283	776	1
99	NS_vRNA	285	683	1
100	NS_vRNA	288	602	2
101	NS_vRNA	289	742	1
102	NS_vRNA	296	694	1
103	NS_vRNA	296	750	1
104	NS_vRNA	297	419	1
105	NS_vRNA	298	453	1
106	NS_vRNA	299	635	1
107	NS_vRNA	303	554	1
108	NS_vRNA	304	652	2
109	NS_vRNA	305	786	2
110	NS_vRNA	307	481	1
111	NS_vRNA	307	645	1
112	NS_vRNA	309	595	1
113	NS_vRNA	309	663	2
114	NS_vRNA	310	444	1
115	NS_vRNA	310	582	1
116	NS_vRNA	310	711	1
117	NS_vRNA	312	598	1
118	NS_vRNA	312	626	2
119	NS_vRNA	312	718	4
120	NS_vRNA	313	741	2
121	NS_vRNA	318	751	2
122	NS_vRNA	320	482	2
123	NS_vRNA	322	637	2
124	NS_vRNA	336	504	1
125	NS_vRNA	336	615	1
126	NS_vRNA	337	540	2
127	NS_vRNA	337	800	6
128	NS_vRNA	340	411	1
129	NS_vRNA	358	429	3
130	NS_vRNA	360	526	1
131	NS_vRNA	365	531	2
132	NS_vRNA	365	613	1
133	NS_vRNA	365	838	1
134	NS_vRNA	368	387	1
135	NS_vRNA	397	550	1
136	NS_vRNA	399	600	2
137	NS_vRNA	418	529	1
138	NS_vRNA	434	478	4
139	NS_vRNA	454	492	2
140	NS_vRNA	477	538	2
141	NS_vRNA	478	682	1
142	NS_vRNA	503	557	1
143	NS_vRNA	504	520	2
144	NS_vRNA	523	538	1
145	NS_vRNA	523	555	2
146	NS_vRNA	524	551	1
147	NS_vRNA	537	600	1
148	NS_vRNA	540	595	1
149	NS_vRNA	544	577	3
150	NS_vRNA	545	627	2
151	NS_vRNA	555	704	2
152	NS_vRNA	564	854	2
153	NS_vRNA	572	849	4
154	NS_vRNA	579	735	1
155	NS_vRNA	587	601	2
156	NS_vRNA	588	614	1
157	NS_vRNA	613	634	1
158	NS_vRNA	613	650	2
159	NS_vRNA	615	658	2
160	NS_vRNA	615	663	1
161	NS_vRNA	624	658	1
162	NS_vRNA	635	651	1
163	NS_vRNA	635	653	4
164	NS_vRNA	636	661	1
165	NS_vRNA	636	679	1
166	NS_vRNA	646	658	1
167	NS_vRNA	650	691	2
168	NS_vRNA	671	829	1
169	NS_vRNA	681	712	2
170	NS_vRNA	682	706	2
171	NS_vRNA	684	703	1
172	NS_vRNA	693	744	2
173	NS_vRNA	702	728	3
174	NS_vRNA	702	733	1
175	NS_vRNA	709	765	1
176	NS_vRNA	714	806	1
177	NS_vRNA	721	828	2
178	NS_vRNA	723	785	1
179	NS_vRNA	728	750	1
180	NS_vRNA	730	770	1
181	NS_vRNA	737	782	1
182	NS_vRNA	749	773	1
183	NS_vRNA	751	825	1
184	NS_vRNA	753	777	1
185	NS_vRNA	757	780	1
186	NS_vRNA	762	794	1
187	NS_vRNA	766	784	1
188	NS_vRNA	769	780	1
189	NS_vRNA	774	812	1
190	NS_vRNA	780	807	2
191	NS_vRNA	804	823	1
192	NS_vRNA	804	833	2
193	NS_vRNA	825	838	2
194	NS_vRNA	826	860	1
195	NS_vRNA	827	843	1
