	segment	fivePrime	threePrime	counts
0	NS_vRNA	103	738	1
1	NS_vRNA	113	636	1
2	NS_vRNA	118	696	3
3	NS_vRNA	132	653	1
4	NS_vRNA	134	626	1
5	NS_vRNA	135	676	1
6	NS_vRNA	135	694	1
7	NS_vRNA	136	629	1
8	NS_vRNA	136	706	1
9	NS_vRNA	143	737	1
10	NS_vRNA	149	803	4
11	NS_vRNA	151	748	2
12	NS_vRNA	152	692	1
13	NS_vRNA	156	634	1
14	NS_vRNA	159	636	2
15	NS_vRNA	159	716	1
16	NS_vRNA	159	740	1
17	NS_vRNA	159	843	1
18	NS_vRNA	160	703	6
19	NS_vRNA	165	736	1
20	NS_vRNA	165	780	4
21	NS_vRNA	167	713	1
22	NS_vRNA	168	714	1
23	NS_vRNA	169	678	1
24	NS_vRNA	170	704	1
25	NS_vRNA	178	664	3
26	NS_vRNA	178	718	2
27	NS_vRNA	182	526	1
28	NS_vRNA	182	798	3
29	NS_vRNA	186	469	2
30	NS_vRNA	187	699	1
31	NS_vRNA	188	615	1
32	NS_vRNA	190	702	1
33	NS_vRNA	193	214	1
34	NS_vRNA	193	840	3
35	NS_vRNA	199	772	2
36	NS_vRNA	201	358	1
37	NS_vRNA	201	747	2
38	NS_vRNA	202	739	2
39	NS_vRNA	209	773	1
40	NS_vRNA	210	736	9
41	NS_vRNA	210	741	1
42	NS_vRNA	212	676	2
43	NS_vRNA	214	781	1
44	NS_vRNA	215	523	1
45	NS_vRNA	215	696	1
46	NS_vRNA	216	579	2
47	NS_vRNA	217	772	8
48	NS_vRNA	219	801	6
49	NS_vRNA	220	720	1
50	NS_vRNA	221	604	1
51	NS_vRNA	222	587	1
52	NS_vRNA	223	675	1
53	NS_vRNA	223	682	1
54	NS_vRNA	224	615	1
55	NS_vRNA	225	655	2
56	NS_vRNA	227	565	1
57	NS_vRNA	229	790	2
58	NS_vRNA	230	614	1
59	NS_vRNA	230	618	2
60	NS_vRNA	230	652	3
61	NS_vRNA	230	659	7
62	NS_vRNA	230	708	2
63	NS_vRNA	230	729	1
64	NS_vRNA	231	618	1
65	NS_vRNA	238	608	1
66	NS_vRNA	241	523	1
67	NS_vRNA	241	659	1
68	NS_vRNA	244	662	1
69	NS_vRNA	246	537	1
70	NS_vRNA	247	717	2
71	NS_vRNA	247	738	4
72	NS_vRNA	249	673	1
73	NS_vRNA	257	719	1
74	NS_vRNA	259	728	2
75	NS_vRNA	261	716	1
76	NS_vRNA	262	536	1
77	NS_vRNA	263	738	1
78	NS_vRNA	267	643	1
79	NS_vRNA	267	730	1
80	NS_vRNA	268	293	1
81	NS_vRNA	268	721	1
82	NS_vRNA	269	596	1
83	NS_vRNA	270	336	1
84	NS_vRNA	272	614	3
85	NS_vRNA	275	284	1
86	NS_vRNA	275	617	1
87	NS_vRNA	277	309	1
88	NS_vRNA	277	702	2
89	NS_vRNA	278	478	1
90	NS_vRNA	279	655	1
91	NS_vRNA	280	772	1
92	NS_vRNA	281	446	1
93	NS_vRNA	281	634	3
94	NS_vRNA	282	307	1
95	NS_vRNA	282	555	1
96	NS_vRNA	282	713	2
97	NS_vRNA	284	705	3
98	NS_vRNA	285	655	1
99	NS_vRNA	287	310	1
100	NS_vRNA	287	659	1
101	NS_vRNA	287	715	3
102	NS_vRNA	292	687	2
103	NS_vRNA	292	772	1
104	NS_vRNA	293	719	3
