	segment	fivePrime	threePrime	counts
0	NS_vRNA	56	617	1
1	NS_vRNA	67	616	1
2	NS_vRNA	70	682	6
3	NS_vRNA	106	651	1
4	NS_vRNA	113	146	1
5	NS_vRNA	113	689	1
6	NS_vRNA	120	636	1
7	NS_vRNA	135	479	1
8	NS_vRNA	137	720	4
9	NS_vRNA	152	168	1
10	NS_vRNA	153	749	1
11	NS_vRNA	154	702	25
12	NS_vRNA	159	681	1
13	NS_vRNA	159	721	4
14	NS_vRNA	159	770	6
15	NS_vRNA	160	652	1
16	NS_vRNA	162	704	1
17	NS_vRNA	163	709	1
18	NS_vRNA	164	785	1
19	NS_vRNA	165	694	1
20	NS_vRNA	167	415	1
21	NS_vRNA	168	756	2
22	NS_vRNA	177	191	1
23	NS_vRNA	180	665	1
24	NS_vRNA	181	722	2
25	NS_vRNA	183	721	1
26	NS_vRNA	186	744	1
27	NS_vRNA	186	751	1
28	NS_vRNA	187	201	1
29	NS_vRNA	187	683	3
30	NS_vRNA	187	686	1
31	NS_vRNA	196	823	1
32	NS_vRNA	199	636	1
33	NS_vRNA	199	652	21
34	NS_vRNA	199	765	1
35	NS_vRNA	200	824	1
36	NS_vRNA	201	773	5
37	NS_vRNA	202	737	3
38	NS_vRNA	208	689	3
39	NS_vRNA	208	771	5
40	NS_vRNA	212	226	3
41	NS_vRNA	213	719	1
42	NS_vRNA	213	725	2
43	NS_vRNA	214	714	1
44	NS_vRNA	214	747	1
45	NS_vRNA	215	531	1
46	NS_vRNA	215	664	2
47	NS_vRNA	215	712	9
48	NS_vRNA	216	674	19
49	NS_vRNA	216	678	3
50	NS_vRNA	217	644	2
51	NS_vRNA	218	602	3
52	NS_vRNA	219	675	1
53	NS_vRNA	219	774	1
54	NS_vRNA	221	553	1
55	NS_vRNA	221	602	1
56	NS_vRNA	222	674	1
57	NS_vRNA	222	681	2
58	NS_vRNA	225	661	1
59	NS_vRNA	230	263	1
60	NS_vRNA	230	668	1
61	NS_vRNA	230	790	1
62	NS_vRNA	231	615	1
63	NS_vRNA	233	636	1
64	NS_vRNA	233	666	1
65	NS_vRNA	234	635	1
66	NS_vRNA	238	556	1
67	NS_vRNA	238	741	1
68	NS_vRNA	240	650	5
69	NS_vRNA	242	514	1
70	NS_vRNA	243	733	1
71	NS_vRNA	244	534	1
72	NS_vRNA	244	619	2
73	NS_vRNA	246	283	2
74	NS_vRNA	246	537	1
75	NS_vRNA	246	700	1
76	NS_vRNA	252	538	1
77	NS_vRNA	253	544	2
78	NS_vRNA	257	666	1
79	NS_vRNA	260	746	18
80	NS_vRNA	261	554	5
81	NS_vRNA	261	710	2
82	NS_vRNA	262	673	1
83	NS_vRNA	262	694	2
84	NS_vRNA	262	725	4
85	NS_vRNA	263	651	1
86	NS_vRNA	263	742	7
87	NS_vRNA	264	752	1
88	NS_vRNA	268	283	3
89	NS_vRNA	270	706	1
90	NS_vRNA	275	366	1
91	NS_vRNA	275	425	1
92	NS_vRNA	278	293	1
93	NS_vRNA	278	770	1
94	NS_vRNA	278	779	14
95	NS_vRNA	281	556	1
96	NS_vRNA	282	787	2
97	NS_vRNA	283	637	2
98	NS_vRNA	284	824	1
99	NS_vRNA	287	682	1
100	NS_vRNA	288	593	1
101	NS_vRNA	288	647	1
102	NS_vRNA	288	701	1
103	NS_vRNA	289	461	1
104	NS_vRNA	292	674	1
105	NS_vRNA	292	715	1
106	NS_vRNA	294	700	3
107	NS_vRNA	294	788	3
108	NS_vRNA	295	579	3
109	NS_vRNA	296	722	1
110	NS_vRNA	297	364	1
111	NS_vRNA	297	418	1
112	NS_vRNA	297	545	1
113	NS_vRNA	298	507	1
114	NS_vRNA	299	615	1
115	NS_vRNA	300	356	1
116	NS_vRNA	302	634	1
117	NS_vRNA	302	703	1
118	NS_vRNA	302	721	1
119	NS_vRNA	304	635	1
120	NS_vRNA	306	686	1
121	NS_vRNA	309	466	1
122	NS_vRNA	309	513	1
123	NS_vRNA	309	804	1
124	NS_vRNA	310	415	1
125	NS_vRNA	310	617	2
126	NS_vRNA	311	649	2
127	NS_vRNA	318	384	2
128	NS_vRNA	318	751	1
129	NS_vRNA	319	594	2
130	NS_vRNA	320	782	1
131	NS_vRNA	321	427	1
132	NS_vRNA	321	609	1
133	NS_vRNA	321	674	11
