segment	left	right	count
NA_vRNA	243	1323	18430
NA_vRNA	271	1335	1780
NA_vRNA	271	1158	26
NA_vRNA	271	1111	3
NA_vRNA	120	1294	15830
NA_vRNA	120	1256	91
NA_vRNA	120	1340	762
NA_vRNA	120	1335	157
NA_vRNA	120	1296	2
NA_vRNA	120	975	16
NA_vRNA	430	1064	5201
NA_vRNA	170	1297	54901
NA_vRNA	170	1320	373
NA_vRNA	170	1217	8
NA_vRNA	170	1321	8
NA_vRNA	170	283	2
NA_vRNA	170	1298	3
NA_vRNA	184	1259	152
NA_vRNA	184	1289	223
NA_vRNA	184	1310	397
NA_vRNA	184	1323	440
NA_vRNA	184	1314	109
NA_vRNA	184	1127	7
NA_vRNA	184	1334	10
NA_vRNA	184	1032	1
NA_vRNA	184	1335	1
NA_vRNA	184	1232	1
NA_vRNA	184	1336	1
NA_vRNA	194	1311	8085
NA_vRNA	194	1228	1202
NA_vRNA	194	1269	13
NA_vRNA	194	1297	159
NA_vRNA	194	1378	40
NA_vRNA	194	1245	27
NA_vRNA	194	1013	22
NA_vRNA	194	1298	2
NA_vRNA	194	1261	1
NA_vRNA	194	1295	1
NA_vRNA	176	1302	20051
NA_vRNA	176	1258	175
NA_vRNA	176	1259	505
NA_vRNA	176	1277	20
NA_vRNA	176	1040	5
NA_vRNA	131	1285	2725
NA_vRNA	131	1259	45
NA_vRNA	131	1004	43
NA_vRNA	131	989	16
NA_vRNA	131	1336	6
NA_vRNA	131	1019	46
NA_vRNA	131	1260	3
NA_vRNA	131	1310	1
NA_vRNA	385	1281	104
NA_vRNA	385	1071	4
NA_vRNA	385	1270	256
NA_vRNA	385	1261	347
NA_vRNA	385	986	13
NA_vRNA	385	1245	47
NA_vRNA	385	1264	5
NA_vRNA	385	1063	23
NA_vRNA	385	927	1
NA_vRNA	187	1337	26567
NA_vRNA	187	1269	687
NA_vRNA	187	1325	97
NA_vRNA	187	1264	45
NA_vRNA	187	1130	306
NA_vRNA	187	1304	125
NA_vRNA	187	1316	47
NA_vRNA	187	965	6
NA_vRNA	187	1257	2
NA_vRNA	187	1258	4
NA_vRNA	187	1336	2
NA_vRNA	182	1191	213
NA_vRNA	182	1333	24
NA_vRNA	182	1060	1
NA_vRNA	302	1301	519
NA_vRNA	302	1146	1
NA_vRNA	302	878	2
NA_vRNA	302	1072	1
NA_vRNA	136	1303	7018
NA_vRNA	136	1297	2
NA_vRNA	136	209	11
NA_vRNA	136	1305	2
NA_vRNA	197	1288	811
NA_vRNA	197	1330	25
NA_vRNA	197	1254	6
NA_vRNA	278	1356	292
NA_vRNA	278	1198	1
NA_vRNA	262	1210	237
NA_vRNA	262	1124	57
NA_vRNA	262	1160	31
NA_vRNA	262	1176	1
NA_vRNA	262	1280	5
NA_vRNA	308	1155	1864
NA_vRNA	308	1169	30
NA_vRNA	308	1195	25
NA_vRNA	308	1166	5
NA_vRNA	308	1220	6
