segment	left	right	count
PB2_vRNA	277	2206	92
PB2_vRNA	277	2178	144
PB2_vRNA	277	2169	123
PB2_vRNA	277	2247	2
PB2_vRNA	277	2145	10
PB2_vRNA	277	2160	7
PB2_vRNA	277	2123	40
PB2_vRNA	277	2049	67
PB2_vRNA	277	2130	37
PB2_vRNA	277	2142	4
PB2_vRNA	277	2139	36
PB2_vRNA	277	305	5
PB2_vRNA	277	1843	13
PB2_vRNA	277	1220	11
PB2_vRNA	277	2223	3
PB2_vRNA	277	2095	8
PB2_vRNA	277	287	4
PB2_vRNA	277	2174	1
PB2_vRNA	248	2259	57449
PB2_vRNA	248	2179	405
PB2_vRNA	248	2197	42
PB2_vRNA	248	2172	46
PB2_vRNA	248	2096	68
PB2_vRNA	248	2199	51
PB2_vRNA	248	2073	22
PB2_vRNA	248	2214	74
PB2_vRNA	248	2191	30
PB2_vRNA	248	2173	27
PB2_vRNA	248	2221	31
PB2_vRNA	248	2134	11
PB2_vRNA	248	2210	21
PB2_vRNA	248	2166	13
PB2_vRNA	248	2121	16
PB2_vRNA	248	2093	18
PB2_vRNA	248	2165	11
PB2_vRNA	248	2104	9
PB2_vRNA	248	2117	10
PB2_vRNA	248	2181	8
PB2_vRNA	248	2192	2
PB2_vRNA	248	2146	5
PB2_vRNA	248	2226	3
PB2_vRNA	248	2201	1
PB2_vRNA	248	2195	5
PB2_vRNA	248	2180	4
PB2_vRNA	248	2099	1
PB2_vRNA	375	2079	32145
PB2_vRNA	375	2025	9
PB2_vRNA	375	2050	621
PB2_vRNA	375	2044	467
PB2_vRNA	375	429	26
PB2_vRNA	375	2012	11
PB2_vRNA	375	2115	15
PB2_vRNA	375	1927	7
PB2_vRNA	375	2046	7
PB2_vRNA	375	2086	3
PB2_vRNA	375	2036	16
PB2_vRNA	151	2175	21035
PB2_vRNA	151	1883	41
PB2_vRNA	151	2163	6
PB2_vRNA	151	826	1
PB2_vRNA	252	2205	82304
PB2_vRNA	252	2089	3
PB2_vRNA	252	2123	640
PB2_vRNA	252	2203	110
PB2_vRNA	252	2176	51
PB2_vRNA	252	2137	4
PB2_vRNA	252	2129	62
PB2_vRNA	252	2204	19
PB2_vRNA	252	2214	98
PB2_vRNA	252	2184	18
PB2_vRNA	252	2187	20
PB2_vRNA	252	2093	12
PB2_vRNA	252	2188	20
PB2_vRNA	252	2142	10
PB2_vRNA	252	270	11
PB2_vRNA	252	2189	2
PB2_vRNA	252	298	9
PB2_vRNA	252	2190	3
PB2_vRNA	252	2244	5
PB2_vRNA	252	2249	5
PB2_vRNA	252	2147	8
PB2_vRNA	252	2140	3
PB2_vRNA	252	2165	3
PB2_vRNA	252	2116	1
PB2_vRNA	252	2156	2
PB2_vRNA	225	2203	3849
PB2_vRNA	225	868	3
PB2_vRNA	225	2152	15
PB2_vRNA	225	2158	13
PB2_vRNA	225	2156	207
PB2_vRNA	225	2171	83
PB2_vRNA	225	2201	99
PB2_vRNA	225	2194	48
PB2_vRNA	225	2075	1
PB2_vRNA	225	2133	2
PB2_vRNA	400	2018	1730
PB2_vRNA	400	2072	1217
PB2_vRNA	400	2056	149
PB2_vRNA	400	2021	1
PB2_vRNA	271	2163	20
PB2_vRNA	271	2150	42
PB2_vRNA	271	2127	1
PB2_vRNA	271	2195	3
PB2_vRNA	271	2096	1
PB2_vRNA	271	311	46
PB2_vRNA	271	2215	4
PB2_vRNA	271	2209	10
PB2_vRNA	271	2124	4
PB2_vRNA	219	2135	18559
PB2_vRNA	219	2180	206
PB2_vRNA	219	2195	127
PB2_vRNA	219	1934	13
PB2_vRNA	219	1453	59
PB2_vRNA	219	2246	25
PB2_vRNA	219	2192	42
PB2_vRNA	219	2205	6
PB2_vRNA	219	2242	3
PB2_vRNA	219	2184	4
PB2_vRNA	219	2113	1
PB2_vRNA	210	2137	37883
PB2_vRNA	210	2162	133
PB2_vRNA	210	2124	74
PB2_vRNA	210	1934	53
PB2_vRNA	210	280	109
PB2_vRNA	210	299	1
PB2_vRNA	210	2200	9
PB2_vRNA	210	2232	1
PB2_vRNA	210	2170	1
PB2_vRNA	167	187	28205
PB2_vRNA	167	2168	106
PB2_vRNA	167	2171	12
PB2_vRNA	167	2010	6
PB2_vRNA	167	303	3
PB2_vRNA	167	2187	24
PB2_vRNA	167	2149	1
PB2_vRNA	424	1998	29916
PB2_vRNA	424	2009	3
PB2_vRNA	424	2028	7
PB2_vRNA	424	2064	25
PB2_vRNA	424	2082	4
PB2_vRNA	424	2054	6
PB2_vRNA	424	1960	8
PB2_vRNA	424	2040	2
PB2_vRNA	424	2025	5
PB2_vRNA	424	2236	3
PB2_vRNA	424	1871	3
PB2_vRNA	424	1970	3
PB2_vRNA	424	2027	1
PB2_vRNA	389	2067	12821
PB2_vRNA	389	1996	1111
PB2_vRNA	389	2051	460
PB2_vRNA	389	2066	696
PB2_vRNA	389	2041	1062
PB2_vRNA	389	2085	127
PB2_vRNA	389	2017	316
PB2_vRNA	389	2097	310
PB2_vRNA	389	1974	13
PB2_vRNA	389	2049	57
PB2_vRNA	389	2077	27
PB2_vRNA	389	2036	36
PB2_vRNA	389	1965	9
PB2_vRNA	389	2104	37
PB2_vRNA	389	2040	100
PB2_vRNA	389	1899	2
PB2_vRNA	389	2035	9
PB2_vRNA	389	2016	38
PB2_vRNA	389	2167	5
PB2_vRNA	389	1984	73
PB2_vRNA	389	2069	54
PB2_vRNA	389	2088	13
PB2_vRNA	389	2010	31
PB2_vRNA	389	1162	10
PB2_vRNA	389	1724	1
PB2_vRNA	389	2078	14
PB2_vRNA	389	2203	29
PB2_vRNA	389	2075	15
PB2_vRNA	389	1998	23
PB2_vRNA	389	2043	3
PB2_vRNA	389	2102	10
PB2_vRNA	389	2146	12
PB2_vRNA	389	2074	18
PB2_vRNA	389	2023	3
PB2_vRNA	389	1912	5
PB2_vRNA	389	2042	5
PB2_vRNA	389	1955	5
PB2_vRNA	389	2011	6
PB2_vRNA	389	1042	4
