"Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A"
0.48075,65.4964,-7.04859,98.6847
9.22811,60.2659,-16.5163,124.601
-2.71937,56.5663,-96.3259,90.274
15.1476,91.9326,-13.1656,93.6187
10.0607,82.5703,10.0999,117.28
31.1597,152.581,130.175,152.34
18.66,76.4673,47.1886,117.152
73.6018,129.046,273.304,205.12
40.0859,95.824,71.4585,134.327
-3.19986,158.109,-85.604,86.3971
14.6379,80.2431,143.162,101.575
-1.12978,53.696,-114.362,56.8142
15.9332,88.1643,45.9336,85.446
8.02283,73.1931,-89.7149,51.6415
38.2155,82.0043,90.062,129.134
49.4556,85.4622,58.0872,79.2835
31.8632,117.806,-32.438,110.687
7.47784,52.9306,-72.0882,63.5197
13.8438,98.2705,34.0362,62.0253
16.5735,65.4327,-80.285,62.9727
27.3786,76.5303,151.462,128.195
16.112,76.4044,-43.8415,41.23
15.604,105.792,-59.6062,73.3356
16.0896,98.0823,22.3911,110.662
38.1127,129.483,83.0009,97.9455
17.0983,113.491,64.928,132.46
13.9301,87.5361,-59.4563,46.3536
43.8955,142.195,185.985,210.136
21.3872,32.521,4.11883,63.6294
24.9224,91.4931,163.882,115.075
27.4248,82.9476,51.7542,135.226
12.9109,51.6549,-102.295,62.2389
16.6595,63.7742,-10.8747,89.9342
41.9803,178.124,2.07451,173.388
12.0877,82.0043,-24.5131,98.9432
19.5078,58.7988,-94.8043,150.736
1.71671,88.5413,-46.3345,76.954
45.9172,121.055,63.1529,125.494
33.3769,64.9223,-27.8022,94.6473
28.0621,104.977,96.359,125.281
10.6871,79.9285,3.2635,108.528
20.3925,78.8589,29.0435,125.47
38.1672,82.0672,143.725,91.893
3.2048,81.9414,5.11567,88.0544
40.706,153.203,191.073,168.896
21.9329,81.4382,-14.1982,51.6822
23.3088,79.1106,-126.744,75.2839
24.7124,109.424,-35.3583,77.5478
14.8576,91.9954,103.677,101.506
25.3464,99.7128,59.795,80.1339
31.1847,136.653,-40.1309,82.6145
40.2747,89.0438,-100.087,70.7464
49.8818,75.8378,-3.85205,98.8826
17.7158,84.8965,-64.3849,76.0135
15.7065,80.4947,-64.0331,19.3519
-2.07453,104.476,41.2086,87.3425
56.4578,106.982,-32.3288,135.158
15.856,94.1297,-26.716,94.0218
32.8632,75.3971,-20.2761,66.5178
3.48919,89.9232,-78.7922,44.2867
19.9265,60.5848,-11.5822,85.9628
7.89342,47.8279,-108.56,53.8515
24.6519,72.6892,-69.7389,102.524
23.8907,117.056,127.901,120.164
30.1509,118.868,124.694,118.359
13.7298,150.344,-91.3887,92.9484
22.892,78.2926,-46.5393,121.594
18.7105,61.414,5.32244,99.3726
26.8055,62.4984,-105.209,27.5568
34.2921,41.6412,-21.5119,41.655
35.6776,67.729,-69.6725,112.898
28.2543,61.9243,-20.5979,55.2278
24.8845,91.242,133.29,131.459
10.1209,57.1404,21.6191,61.9133
8.2672,95.6358,40.8765,103.59
36.531,129.421,34.2455,151.965
5.27672,69.1324,33.0092,64.7087
47.1431,100.841,127.357,123.184
-1.96659,73.256,-16.6834,81.0748
25.0693,98.6468,150.862,92.665
21.7042,160.653,116.581,150.114
10.7677,88.2272,20.4354,99.5641
64.8425,186.16,138.446,176.25
48.0815,100.528,72.4528,152.828
25.2101,112.74,-58.1203,101.365
1.94112,66.3257,-71.4398,58.1044
41.2026,76.2785,12.2043,83.2938
31.6311,75.1452,27.1977,99.9616
29.5217,134.472,90.701,115.246
17.5856,96.2632,63.2635,23.549
1.84464,85.5251,-6.58347,56.6553
3.34706,63.9017,-59.2762,72.2477
34.7164,84.6451,-102.222,85.7912
16.785,48.2106,-12.3271,51.6492
34.7476,134.97,74.5383,149.282
36.584,39.9829,-57.5398,36.5308
35.0957,48.5295,-40.836,43.6513
30.1935,103.85,-30.5885,137.977
25.0498,85.7765,-86.8569,107.003
10.9744,61.2865,-45.8904,82.6878
