"FSC-A","SSC-A","APC-A","FITC-A","Time"
79054.5,65732.4,58.65,908.61,0.613202
28354.7,43140.8,6290.85,440.82,0.62032
62738.6,51939.6,111.35,683.55,0.621337
52001.8,63372.1,674.9,662.16,0.624388
75737.3,75664.8,72.25,632.4,0.625405
66526.7,62983.3,95.2,618.45,0.626422
34748.2,48003.8,69.7,559.86,0.632524
42825.1,43944.4,19.55,448.26,0.634557
49362.4,45294.7,195.5,559.86,0.635574
38111.2,43962,24.65,506.85,0.635574
84633.5,75850.8,34.85,982.08,0.644727
80273.5,55389.9,840.65,865.83,0.649811
41181.9,47172.4,124.95,504.99,0.653879
41922.9,48845.5,11.05,469.65,0.662014
84347.5,51602,26.35,794.22,0.667099
47716,60973.6,12.75,556.14,0.668116
37723.3,66204.8,45.05,912.33,0.6732
40519.9,43316.6,20.4,301.32,0.678285
64508.2,40941.4,84.15,656.58,0.679302
26595.4,50653.4,9.35,611.94,0.681336
74267.9,74309.8,339.15,983.94,0.681336
49950.9,52429.7,136.85,750.51,0.682353
31152.9,36593.6,70.55,456.63,0.682353
48769.9,46620,35.7,794.22,0.68642
42159.9,34684.4,38.25,604.5,0.687437
64227,50112.1,11.05,690.99,0.687437
58191.4,65918.4,142.8,772.83,0.696589
64313.1,53145.8,34.85,762.6,0.698623
65540,54773.3,8377.6,657.51,0.703708
44820.7,66202,5054.95,629.61,0.704725
63293.2,56813.7,37.4,553.35,0.706759
87298.2,78835.2,63.75,903.96,0.709809
42020.9,32263.6,8.5,347.82,0.714894
49388.4,61143.8,183.6,580.32,0.717945
53200.2,49455.5,34.85,611.94,0.720995
88344.9,54567.8,186.15,877.92,0.727097
37582.7,40167.6,55.25,602.64,0.729131
47967.2,50609.7,56.1,787.71,0.730148
43693.3,34362.6,31.45,343.17,0.732182
78563.9,66713.5,182.75,740.28,0.732182
85369,56810.9,145.35,627.75,0.735232
66010,36389,64.6,688.2,0.7393
73868.2,45183.1,55.25,613.8,0.740317
38692.6,44180.6,40.8,514.29,0.742351
33280.3,46110.3,133.45,497.55,0.742351
50974,40580.6,62.05,1388.49,0.742351
61721.1,73978.7,1986.45,1234.11,0.744385
54953.2,62936.8,260.1,729.12,0.747435
67910,51736.8,75.65,1230.39,0.748452
59977.6,55385.2,2.55,675.18,0.748452
57942.6,74896.6,102.85,769.11,0.755571
62721.3,65395.7,918,690.06,0.756588
36539.1,39432,221,531.96,0.757605
37636.4,54318.5,21269.6,825.84,0.758621
77886.9,39943.5,154.7,545.91,0.759638
83290.5,68676.8,1972,855.6,0.760655
49288.9,59055.9,77.35,815.61,0.770824
81160.6,61361.4,22.95,831.42,0.772858
40262.4,42059.2,283.9,425.01,0.772858
76953.9,68215.5,120.7,702.15,0.774892
78413,70155.5,4818.65,816.54,0.777943
57937,65596.6,9194.45,810.03,0.779977
71303.8,46354.9,42.5,558.93,0.785061
46019.9,52728.2,33.15,730.05,0.786078
37753.3,45499.3,22.95,657.51,0.791163
74576,71069.7,62.05,876.06,0.794214
51126.4,70893.9,29.75,794.22,0.799298
91363.5,66388,724.2,873.27,0.803366
32355.2,49236.1,26.35,630.54,0.809467
46315.3,45192.4,532.1,562.65,0.811501
74995.5,74987.8,5154.4,1043.46,0.813535
47037.4,50339,19.55,787.71,0.816586
46721.4,52820.3,198.9,531.03,0.820653
48412,39255.3,4.25,488.25,0.826755
55699,41188.8,39.95,512.43,0.828789
49489.6,54283.2,24571,675.18,0.828789
86787,50721.3,13.6,812.82,0.832857
66664.9,85396.3,41118.8,1008.12,0.833873
53772.1,50140.9,269.45,650.07,0.833873
70437.2,52197.2,43.35,544.98,0.843026
49534.6,46231.2,24514.9,687.27,0.850144
60414.5,53244.4,0.85,678.9,0.851161
50774.1,57975.3,6507.6,764.46,0.856246
51659.7,57835.8,34,783.99,0.860313
71872.6,50072.1,35602.2,923.49,0.862347
61560.8,66617.8,73.95,843.51,0.865398
47035,76101.9,47.6,1132.74,0.866415
29062.5,53301.1,1213.8,710.52,0.868449
51360.3,40832.6,16.15,480.81,0.868449
65283.2,65752.9,45.9,649.14,0.868449
62032.4,33424.2,308.55,266.91,0.872516
36170.9,46996.6,596.7,479.88,0.872516
64186.7,47113.8,7.65,611.94,0.891838
43735.2,53913,23.8,907.68,0.892855
58046.8,55405.7,28.9,599.85,0.896922
56773.4,34657.4,42.5,591.48,0.896922
46276.6,57876.7,28.9,569.16,0.908109
65108.6,39897,38.25,420.36,0.918278
76566.8,67703.1,50.15,678.9,0.919295
62868.2,42355.9,-8.5,537.54,0.923362
53592,57192.2,777.75,612.87,0.930481
82257.2,64611.8,21343.5,1404.3,0.930481
44567.1,50158.6,15561.8,501.27,0.932515
69115.5,53610.8,19.55,713.31,0.932515
71721.7,73588.1,41.65,1289.91,0.933532
72408.2,77349,111078,1429.41,0.94065
63783,49795.9,9.35,678.9,0.947768
