"FSC-A","SSC-A","APC-A","FITC-A","Time"
66394.8,69937.9,15.3,1753.98,0.508768
61761.4,57276.8,12.75,916.05,0.514825
58433.1,80152,14.45,916.98,0.516844
66424,45897.4,-18.7,541.26,0.520882
75336.8,66541.5,32.3,806.31,0.52492
55467.5,68712.1,-8.5,925.35,0.529967
57820.9,38370.9,-13.6,571.02,0.530976
74218.1,74910.6,77.35,1110.42,0.535014
62657.3,65511.1,41.65,1080.66,0.540062
62155.6,62869.9,60.35,850.02,0.542081
55487.2,64029.6,41.65,784.92,0.546118
99383.6,60610,51,1076.01,0.550156
29456.7,39407.8,-5.95,650.07,0.553185
38292.1,37393.4,5.95,402.69,0.556213
42181.3,36677.3,1.7,452.91,0.556213
70069.1,78477.1,57.8,949.53,0.569336
58444.2,60700.2,56.95,983.94,0.571355
85346.9,65599.4,34.85,729.12,0.573374
43094.5,49860.1,45.9,541.26,0.577412
69130.5,59759.9,30.6,835.14,0.578421
60447.6,59145.2,37.4,648.21,0.583468
65773.8,60407.2,-2.55,755.16,0.583468
60463.4,59046.6,40.8,820.26,0.588516
68274.2,53925.1,51.85,743.07,0.592554
40494.6,65072.1,20.4,716.1,0.596591
59799.1,83659.1,67.15,968.13,0.59962
62353.9,62550.9,24.65,762.6,0.604667
53851.9,55862.3,20.4,828.63,0.604667
48249.2,54023.7,61.2,715.17,0.605677
51809.8,40987.9,-0.85,584.97,0.606686
60639.6,40038.4,32.3,475.23,0.608705
52111.6,81738.6,8.5,876.06,0.611733
42090.4,51549.9,43.35,705.87,0.612743
41677.2,42114.1,62.05,487.32,0.612743
52629,59199.2,58.65,963.48,0.616781
55762.9,79141.1,51.85,857.46,0.6188
71588.2,77799.1,42.5,939.3,0.620818
32911.4,59874.3,7.65,724.47,0.622837
71100.8,81595.4,39.1,909.54,0.623847
55695.8,54178.1,30.6,700.29,0.626875
53772.9,79959.5,29.75,932.79,0.626875
83380.6,78311.6,65.45,1090.89,0.629904
32330,43425.4,16.15,598.92,0.632932
56319.9,40763.8,11.05,696.57,0.633942
51216.5,84356.6,10.2,924.42,0.63596
54262.7,37277.2,1.7,519.87,0.638989
53813.2,41150.6,34,478.02,0.639998
79113.8,69139.9,22.1,770.97,0.642017
66479.3,60532.8,36.55,908.61,0.645046
33794.6,47517.4,15.3,465.93,0.652112
47580.9,48833.4,-22.1,571.95,0.653121
83867.2,72825.5,-7.65,985.8,0.65514
44847.5,45706.7,-6.8,696.57,0.657159
75411,73555.6,52.7,992.31,0.657159
63726.1,66491.3,45.05,769.11,0.659178
53848,39554.8,16.15,476.16,0.662206
49080.3,66208.6,4.25,880.71,0.665235
53017.7,34623.9,34,528.24,0.671292
60442.1,65813.3,26.35,944.88,0.675329
59724.8,37732.9,43.35,505.92,0.677348
71265.1,53362.5,-0.85,749.58,0.678358
52132.9,48990.5,31.45,518.94,0.682396
62300.2,64525.3,31.45,1176.45,0.682396
48816.5,43635.6,33.15,587.76,0.686433
50627.9,71817.4,79.05,803.52,0.686433
84406.8,74305.1,88.4,798.87,0.690471
32625.4,45013.9,10.2,371.07,0.699557
47710.5,44352.6,14.45,546.84,0.702585
63129.7,71271.5,26.35,911.4,0.702585
29074.4,39572.4,1.7,427.8,0.703594
58296.5,51452.2,42.5,606.36,0.706623
40269.5,43686.8,45.9,576.6,0.708642
52141.6,56630.5,64.6,733.77,0.709651
42895.4,36823.4,14.45,554.28,0.716717
59751.7,65567.8,37.4,990.45,0.717727
42421.4,39713.8,28.05,560.79,0.718736
46604.5,68348.5,18.7,842.58,0.720755
46354.8,58617.9,-6.8,800.73,0.722774
49100.1,48865.9,13.6,859.32,0.724793
49363.9,32451.4,39.1,521.73,0.724793
57836.7,40322,11.05,533.82,0.727821
48291.1,57694.4,42.5,788.64,0.728831
31927.1,44692.1,58.65,571.02,0.732869
69243.5,50678.5,-5.1,956.04,0.735897
42137,38245.3,38.25,648.21,0.737916
60740.7,46427.5,19.55,433.38,0.740944
63317.7,46341,6.8,542.19,0.741954
59893.9,34681.6,28.9,534.75,0.744982
62397.4,86026.9,68,957.9,0.748011
70660,63696.6,30.6,1032.3,0.751039
48107.1,49622.9,64.6,585.9,0.760124
48511.5,52784.9,57.8,834.21,0.761134
104826,67473.4,3.4,1026.72,0.765171
51470.1,48251.2,27.2,729.12,0.769209
68925.1,43169.7,12.75,620.31,0.770219
60788.1,60587.6,19.55,810.96,0.772238
57086.2,47443.9,-19.55,664.02,0.772238
71633.2,63779.4,17.85,749.58,0.777285
49160.1,30316.1,-13.6,407.34,0.777285
73620.9,71506.8,14.45,1532.64,0.781323
26700.4,55529.4,33.15,580.32,0.788389
80078.4,72089.9,22.1,969.06,0.791417
68603.6,66953.5,86.7,929.07,0.799493
81234.9,74631.6,3.4,1006.26,0.800503
49052.7,35227.5,-7.65,437.1,0.800503
69039.7,51562.9,28.05,674.25,0.80454
64530.4,38233.2,-2.55,491.97,0.808578
65555,42998.6,-17.85,522.66,0.811607
79007.9,75381.1,39.1,1034.16,0.816654
84977.9,85448.4,39.1,1376.4,0.821701
42708.2,42808.8,36.55,418.5,0.82473
24100.5,35765.9,62.05,563.58,0.832805
68280.5,56124.6,57.8,968.13,0.833815
62266.2,34607.2,41.65,566.37,0.841891
71134,46633,32.3,630.54,0.847947
83158.6,68974.4,28.9,751.44,0.850976
66168,70443.8,51.85,888.15,0.858042
46720.6,52322.7,24.65,870.48,0.858042
68505.6,73059.9,34,1138.32,0.863089
39697.5,47218,48.45,598.92,0.867127
43469,31887.8,5.1,411.99,0.868136
49202,42612.6,24.65,590.55,0.869146
36937.2,49646.2,32.3,584.97,0.869146
60184.6,46330.7,-1.7,614.73,0.875203
45379.2,50237.7,13.6,721.68,0.878231
55843.5,64856.3,36.55,717.96,0.88025
64340.8,48519,34,636.12,0.88025
47918.2,51759.2,23.8,787.71,0.886307
57245,72089,63.75,826.77,0.887316
65732,59011.3,54.4,840.72,0.888326
59167.1,46402.4,26.35,588.69,0.889335
64620.4,52957.9,32.3,768.18,0.891354
79694.4,70848.3,19.55,794.22,0.892364
43768.4,46670.2,-11.05,654.72,0.892364
56005.5,45712.3,-5.95,532.89,0.893373
53509.9,66180.7,40.8,790.5,0.897411
63795.7,68324.3,51.85,866.76,0.900439
64577.8,70749.8,-22.1,774.69,0.901449
25519.4,50012.6,14.45,659.37,0.901449
77545.6,79199.7,51.85,1084.38,0.907505
75005.8,69683,77.35,830.49,0.911543
64953,30969.9,-11.9,492.9,0.912553
35143.2,53737.3,16.15,558.93,0.913562
47955.4,39422.7,21.25,597.06,0.914572
51388.7,44078.3,45.05,696.57,0.915581
62594.1,50201.4,47.6,788.64,0.9176
58791,43995.5,17,763.53,0.9176
68820.9,70245.7,22.95,959.76,0.9176
42201,46683.2,32.3,651,0.919619
57334.2,66434.5,38.25,948.6,0.923657
50197.4,46034.1,37.4,580.32,0.925676
49271.5,67715.2,21.25,746.79,0.925676
44509.4,47599.3,28.05,823.98,0.927695
53953.1,53188.6,17.85,651.93,0.928704
39108.9,61802.2,56.95,931.86,0.929714
46345.4,50885.9,22.95,664.02,0.929714
36358.2,42742.8,49.3,618.45,0.941827
50285.1,72385.6,69.7,1094.61,0.949903
38421.7,45351.4,21.25,612.87,0.952931
57976.5,50402.3,31.45,551.49,0.95495
86486,60700.2,7.65,803.52,0.959997
54220.1,38922.4,22.1,415.71,0.961007
58227.7,76703.6,27.2,1098.33,0.961007
58027.1,44797.2,36.55,845.37,0.964035
49499.8,52404.6,22.95,762.6,0.970092
60025.8,56828.6,26.35,938.37,0.97312
66562.2,80906.3,28.05,1121.58,0.97413
60184.6,64364.4,29.75,658.44,0.980187
40479.6,48942.2,28.9,676.11,0.981196
47763.4,39896.1,56.1,646.35,0.995329
50216.4,59268.9,8.5,724.47,0.999366
89789,63520.9,23.8,853.74,0.999366
56947.9,49663.9,5.1,674.25,1.00239
81796.6,58748.1,53.55,921.63,1.00744
70684.5,64967,-5.1,731.91,1.01047
54152.1,56205.5,44.2,906.75,1.01552
51372.1,52178.6,-9.35,559.86,1.01653
74422,79008.1,25.5,1003.47,1.01754
54434.2,45324.5,32.3,633.33,1.01855
39111.3,36314.6,30.6,476.16,1.02057
57177.8,59771.1,25.5,794.22,1.02359
49661,63896.6,19.55,532.89,1.02359
41298.8,39841.2,26.35,530.1,1.02359
52298.8,44320.1,9.35,607.29,1.02763
64598.3,38960.5,44.2,394.32,1.02763
50817.5,54610.5,11.9,608.22,1.02965
81889,61650.6,32.3,731.91,1.03571
69245.9,48734.8,32.3,873.27,1.03672
85538.8,70467,11.05,1238.76,1.03773
62446.3,66446.6,53.55,807.24,1.04176
47818.7,52150.7,31.45,903.96,1.04277
57208.6,74214.9,56.95,912.33,1.05085
86986.9,49413.7,33.15,554.28,1.05186
54854.4,61356.8,45.9,869.55,1.05388
42420.6,34144.9,12.75,422.22,1.0559
53198.6,48644.6,21.25,984.87,1.05993
46527.8,64669.4,23.8,835.14,1.06094
52305.1,38528,5.1,1076.01,1.06599
67536.3,41763.5,-21.25,635.19,1.067
74117,77493.2,68.85,910.47,1.06902
51161.2,56078.1,30.6,658.44,1.07003
46666.9,58866.2,35.7,1221.09,1.07508
33244.8,47484.9,49.3,566.37,1.0781
60004.5,54531.5,25.5,837,1.08012
79745,55567.5,13.6,643.56,1.09022
62301.8,65469.2,48.45,847.23,1.09627
57770.3,47370.5,29.75,571.02,1.09728
71284.9,62670.8,24.65,818.4,1.10536
49580.4,42413.6,11.05,540.33,1.10637
48497.3,40838.2,35.7,581.25,1.10839
44008.5,43790,31.45,661.23,1.10839
55857,78227.9,36.55,1213.65,1.11243
66277.1,71813.7,-17,1003.47,1.11949
68851.7,74909.6,3.4,731.91,1.12353
41904.8,43498.9,22.1,623.1,1.12555
63118.6,58671.8,14.45,669.6,1.12555
54166.4,56109.7,28.9,710.52,1.12757
82621.4,53169,-1.7,664.02,1.1306
34685.7,36257.9,35.7,624.03,1.13665
68400.6,57824.6,35.7,795.15,1.14069
35471,42226.6,12.75,591.48,1.14069
67067.1,62637.4,38.25,564.51,1.14372
71396.2,71638.8,53.55,1131.81,1.14473
50936.8,39034.9,41.65,531.96,1.15079
43288.8,58802,52.7,774.69,1.15079
26969,38011,11.05,448.26,1.15381
66736,74008.5,28.9,1078.8,1.15987
37286.4,39291.6,55.25,403.62,1.16189
43668.8,42632.1,39.95,680.76,1.1629
50907.6,67783,24.65,735.63,1.16492
59122.8,65547.3,49.3,700.29,1.16795
51602.8,50425.5,14.45,1104.84,1.17198
94356.8,56302.2,70.55,951.39,1.17198
60493.5,77043.1,31.45,1058.34,1.17299
49688.6,50090.7,36.55,691.92,1.17501
61923.4,49135.6,57.8,673.32,1.17905
58137.7,65036.8,39.1,1095.54,1.18006
56634.3,59185.2,39.1,656.58,1.18006
71615.1,67762.6,53.55,928.14,1.18208
75525.6,61813.4,42.5,879.78,1.18814
37333,43938.8,36.55,536.61,1.19217
53013,43082.2,-1.7,628.68,1.19318
44226.6,50167,29.75,780.27,1.19823
58664.6,45555.1,1.7,499.41,1.19924
72573.4,50659.9,1.7,694.71,1.20227
59473.6,44386.1,17,558.93,1.20227
41280.7,59755.3,30.6,449.19,1.20631
43305.4,41302.2,1.7,426.87,1.20631
60973,60717.8,14.45,758.88,1.20732
48097.6,51507.1,20.4,761.67,1.22851
57096.5,37503.2,57.8,549.63,1.22952
49106.4,46993.8,32.3,707.73,1.23659
63532.6,81145.3,16.15,953.25,1.24467
84410.7,71761.6,30.6,1153.2,1.24769
82413.6,70270.8,26.35,786.78,1.24971
59208.9,66880,34.85,764.46,1.25173
67680.1,84139.9,100.3,594.27,1.25476
43044.7,47917.3,1.7,525.45,1.25779
41925.3,55143.4,25.5,775.62,1.25981
54058.1,51182.6,-1.7,558.93,1.26788
32232.8,38123.5,-19.55,1201.56,1.26889
57950.5,33368.4,5.1,621.24,1.27192
62254.4,85553.5,41.65,1082.52,1.27293
53934.9,57125.2,6.8,784.92,1.27697
45729.9,54036.7,8.5,610.08,1.28101
33185.5,39730.5,24.65,624.03,1.28403
70274.5,62899.6,13.6,767.25,1.28706
70882.8,74996.1,54.4,1092.75,1.29918
52647.2,53724.2,41.65,763.53,1.3022
42545.4,45503,19.55,717.03,1.30422
111586,69727.7,28.9,808.17,1.30826
63481.2,77670.8,-13.6,913.26,1.30826
