"FSC-A","SSC-A","APC-A","FITC-A","Time"
56775.7,53247.2,27.2,577.53,0.516781
91433,73790.9,32.3,783.06,0.517812
56014.2,45841.6,12.75,539.4,0.52297
48724,46529.8,19.55,538.47,0.52297
64911.1,40278.3,34.85,495.69,0.527096
42354.3,43258,37.4,442.68,0.527096
68580.7,76922.2,20849.7,764.46,0.528127
72225.8,66668,131.75,905.82,0.531222
90022.9,58230.1,124.1,848.16,0.533285
52536.6,62921.9,57.8,595.2,0.537411
53157.5,43723.9,73.1,686.34,0.5436
50031.5,58502.6,39.1,850.95,0.548757
39871.3,47106.4,9.35,592.41,0.549789
71916.1,62294.2,-6.8,761.67,0.55082
71457.1,58813.2,70.55,878.85,0.552883
44567.1,48020.6,22.95,548.7,0.553915
44727.4,51933.1,46.75,753.3,0.555978
56868.2,48775.7,27.2,568.23,0.563198
56240.9,59096.9,17727.6,2178.06,0.56423
55872.8,59123.8,120.7,672.39,0.568356
27549.7,50842.2,76.5,544.98,0.572482
56877.6,62228.2,15235.4,1770.72,0.574545
74249.7,64516,341.7,814.68,0.575576
53871.7,52823.1,22.95,664.02,0.576608
91271.1,79925.1,3.4,1042.53,0.576608
67610.6,80081.4,18.7,811.89,0.578671
30719.9,46641.4,18.7,455.7,0.579702
84669,64718.7,38.25,926.28,0.579702
58533.5,77976.8,26.35,951.39,0.58486
42908.1,49082.6,53.55,601.71,0.587954
75051.6,59603.7,118.15,852.81,0.59208
59892.3,57664.7,259.25,707.73,0.594143
80442.5,69674.7,634.1,967.2,0.595175
83257.3,69339.9,116.45,780.27,0.602395
53982.3,82979.2,39.1,911.4,0.608584
55066.2,39592.9,5.1,664.02,0.609616
58717.5,75566.2,47.6,851.88,0.613742
53860.6,57802.3,34,794.22,0.616836
55320.5,82422.2,63.75,916.98,0.618899
50243.2,46160.6,42.5,560.79,0.624057
47702.6,52920.7,20.4,732.84,0.62612
45233.8,49987.5,29.75,675.18,0.627151
90812.1,65047,146.2,797.01,0.631277
65620.6,36868.9,56.1,524.52,0.63334
63406.2,75897.3,102.85,543.12,0.63334
67838.9,41049.3,5.1,576.6,0.640561
50346.7,55717.2,4158.2,640.77,0.643655
53768.2,58304.5,66.3,872.34,0.648813
58268,40546.1,8353.8,594.27,0.659128
55780.3,51145.4,44.2,753.3,0.663254
61182.3,73252.4,93.5,1009.98,0.663254
77452.4,75542,2119.9,934.65,0.666348
32773.2,36923.8,44.2,450.12,0.666348
33292.2,44441,10.2,507.78,0.670474
79087.7,61930.6,13872.9,8928.93,0.672537
46790.1,40827.9,21.25,498.48,0.6746
88836.3,62321.2,20.4,630.54,0.6746
80963.9,40645.6,45.05,493.83,0.678726
56887.9,40941.4,41.65,544.05,0.680789
40204.7,49312.3,2131.8,562.65,0.68182
51110.6,51555.5,12103.2,672.39,0.68182
60743.9,45935.5,-3.4,648.21,0.683883
37483.9,54442.2,34.85,705.87,0.683883
57519.9,57531.7,62.9,801.66,0.690072
82394.6,72334.5,33.15,1021.14,0.692135
48086.5,47327.7,32.3,808.17,0.694198
43963.5,49961.5,56.95,684.48,0.696261
50169.7,38826.6,19.55,482.67,0.697293
66049.5,49233.3,78.2,653.79,0.699356
65860.7,58929.4,25.5,652.86,0.699356
91008.8,77409.5,39733.2,4901.1,0.705545
23664.5,45958.7,-12.75,471.51,0.708639
106504,85702.3,46.75,1182.96,0.710702
42287.1,50304.6,15285.6,898.38,0.714828
52020.7,47855.9,2255.9,538.47,0.722049
92178,66110.9,119,996.96,0.724112
85199.1,47269.1,32.3,674.25,0.727206
46565.8,62013.3,20.4,771.9,0.729269
70581,47273.8,34,625.89,0.729269
40262.4,47072.9,17,505.92,0.732364
66930.4,51321.1,76.5,574.74,0.735458
62214.1,77796.4,51,917.91,0.735458
53927,69817,65.45,1004.4,0.735458
49860.1,48430.7,-19.55,601.71,0.740616
79103.5,68656.3,8.5,1023,0.745773
53324.2,38728.9,71.4,499.41,0.749899
52604.5,67620.3,24089.9,892.8,0.751962
72887.8,57816.2,47.6,896.52,0.758151
104143,60361.7,49.3,973.71,0.763309
52159.8,44630.7,72.25,744.93,0.765372
64810,61027.5,15374.8,693.78,0.765372
52806,48002.9,17.85,713.31,0.768466
115375,64223.9,34.85,964.41,0.772592
77719.4,71045.5,45.05,877.92,0.773624
45867.4,41517.1,15789.6,630.54,0.774655
85197.6,60265.9,100.3,756.09,0.788065
71554.2,88110.1,42.5,810.03,0.791159
106671,66002.1,28.05,861.18,0.799411
67131,51794.5,17,605.43,0.804569
59809.3,60676,545.7,707.73,0.8056
58292.5,54897.9,40.8,637.05,0.809726
103167,81635.4,13.6,913.26,0.815915
52776,42869.3,45.9,521.73,0.815915
52746.7,63216.8,128.35,1167.15,0.822104
50834.1,54104.6,63.75,749.58,0.82623
54504.5,55561,481.1,604.5,0.828293
53044.6,43448.7,51.85,625.89,0.832419
67359.4,62168.6,54.4,756.09,0.836545
67576.6,63397.2,63.75,817.47,0.843766
