"FSC-A","SSC-A","APC-A","FITC-A","Time"
66016.4,69688.6,44.2,1204.35,0.505029
62343.6,86701.1,20.4,1019.28,0.509069
47810.8,52811.9,23.8,805.38,0.51816
67919.5,63905.9,42.5,925.35,0.52018
43512.4,60626.7,12.75,713.31,0.52321
30440.3,38172.8,22.1,502.2,0.52927
68870.6,64939.1,-0.85,692.85,0.53129
40057.7,59980.4,44.2,808.17,0.5323
45870.6,44351.7,18.7,539.4,0.5323
46594.2,56050.2,36.55,670.53,0.53331
52526.3,39298.1,28.9,700.29,0.535331
79860.3,74015,35.7,925.35,0.537351
64798.2,64748.5,45.05,791.43,0.538361
39072.6,42384.8,4.25,526.38,0.541391
38580.4,52036.3,36.55,594.27,0.544421
74108.3,80427.3,31.45,768.18,0.555532
85974.9,78888.2,58.65,944.88,0.567652
67336.4,63976.6,-10.2,870.48,0.570683
98219.1,64954,22.95,772.83,0.576743
41874.7,41870.5,15.3,473.37,0.578763
35548.4,46911.1,5.95,585.9,0.581793
51523,73397.5,-5.1,868.62,0.581793
74738.7,65819.8,59.5,947.67,0.583813
61158.6,49702,80.75,804.45,0.583813
49493.5,64870.3,37.4,1333.62,0.588864
60674.4,36443,62.9,628.68,0.588864
56010.2,69416.1,-13.6,885.36,0.596944
64897.7,48201.9,1.7,759.81,0.596944
38196.5,30791.4,14.45,304.11,0.599974
41157.4,32050.6,25.5,461.28,0.601994
52335.9,73272.8,26.35,862.11,0.601994
55149.1,44182.4,22.1,516.15,0.607045
46203.2,32524.9,36.55,356.19,0.619165
41001.8,57756.7,33.15,624.03,0.621185
77885.3,53312.2,11.05,684.48,0.631286
56160.3,60300.3,26.35,876.06,0.634316
59653.7,61831.1,4.25,688.2,0.640377
41509.8,41207.4,34.85,544.05,0.641387
52246.7,65430.2,40.8,1415.46,0.645427
47771.3,36476.5,-1.7,464.07,0.662598
80106,69457,56.95,947.67,0.667648
55069.3,47527.6,47.6,469.65,0.671688
71731.2,73351.9,27.2,795.15,0.675729
52177.1,51049.6,14.45,554.28,0.677749
90426.6,76366,-11.05,837.93,0.711081
75500.3,70368.5,37.4,969.06,0.712091
98881.1,75546.7,-11.9,1142.04,0.714111
45916.4,54721.2,26.35,580.32,0.714111
30983,41289.2,30.6,636.12,0.721181
41851.8,40876.3,17.85,550.56,0.722191
89680.8,58405.9,14.45,715.17,0.724211
37056.5,50380.9,22.1,666.81,0.725221
41964,36694.1,28.9,579.39,0.725221
61402,50777.1,9.35,693.78,0.727241
73421.8,77839.1,12.75,886.29,0.727241
37542.4,37406.5,10.2,413.85,0.728252
58394.4,45417.5,-4.25,633.33,0.728252
55624.7,65721.2,11.05,794.22,0.729262
60701.2,42234.1,5.95,566.37,0.741382
75900.8,83156.9,-8.5,889.08,0.751483
41387.3,39215.3,33.15,534.75,0.754513
62293.1,46577.2,3.4,749.58,0.756533
30579.3,40332.2,-18.7,520.8,0.762594
52141.6,56355.2,16.15,575.67,0.763604
69847.1,72276.8,37.4,864.9,0.766634
33673.8,40606.6,38.25,526.38,0.766634
58912.7,66907,29.75,814.68,0.768654
51098,45205.4,34.85,675.18,0.771684
34241.8,58624.4,44.2,544.98,0.774714
38805.6,58326.8,-3.4,680.76,0.778754
46333.5,47516.5,28.9,558.93,0.780775
27894.1,40737.7,-5.1,511.5,0.781785
31472,47770.4,32.3,640.77,0.785825
45526.9,41081.8,29.75,514.29,0.795925
81898.5,52770.1,49.3,583.11,0.806026
65125.2,47528.6,39.1,762.6,0.812086
35541.3,37919.8,0,525.45,0.818147
60554.3,40947,-11.9,594.27,0.820167
64058.7,74471.6,31.45,1037.88,0.825217
55831.7,69403.1,5.95,934.65,0.828247
40824.8,41690,9.35,486.39,0.829257
57162.8,63118.2,17,631.47,0.838348
33101,43821.6,-6.8,490.11,0.840368
53610.2,51594.5,56.1,739.35,0.844408
66443.7,52563.6,38.25,692.85,0.847438
48208.2,42495.4,23.8,1127.16,0.851479
48640.3,75208.2,46.75,995.1,0.855519
56226.7,45774.6,23.8,597.99,0.856529
98215.2,62599.2,49.3,867.69,0.857539
58386.5,62865.2,40.8,626.82,0.866629
33214,33343.3,45.05,528.24,0.87067
31969.7,42913.9,71.4,591.48,0.87168
97535,73177,32.3,907.68,0.88178
95319,76571.5,28.9,1124.37,0.887841
65496.5,51589,87.55,650.07,0.896931
49615.2,30184.1,24.65,335.73,0.904002
43082.7,55873.5,8.5,676.11,0.905012
67413.1,72529.8,-7.65,904.89,0.908042
